file,model_count
adderii_00.dimacs,793775568975819472631247345205685281819580389268493588929373555152362191407306042882801543888926473413383487042213235875827581395445981800383576737318229892219214954511882202276859928372387025249233797120000000
adderii_01.dimacs,5023885971281071888009327682554305079243563277252614795113628568329176641190263647827323632808915192057652864799996744612287009315609040811676101459851712385210849197300060268379334607129214462248091648000000
adderii_02.dimacs,6698514628374762517345770243405740105658084369670153060151504757772235521587018197103098177078553589410203819733328992816382679087478721082234801946468949846947798929733413691172446142838952616330788864000000
adderii_03.dimacs,17532456254079216037750580653718234113663411876570433346843351854822885983338388620475829551901338449509185374256271772355045290168129422189388004376042035367602858033532107202244042172739054915813376000000
adderii_04.dimacs,17532456254079216037750580653718234113663411876570433346843351854822885983338388620475829551901338449509185374256271772355045290168129422189388004376042035367602858033532107202244042172739054915813376000000
adderii_05.dimacs,291029317096617347325342138083212056270075169297937232994738839380075409412599980436794900290595484642047863288098183457098619058902268692630063708605841676462552120973976510500722600513370599718912000000
adderii_06.dimacs,617616124049552769428960500944515154457365678206832094130308061697735151719101377539646842945506975248376146868555783218720549885689005716766873092646844898345389896722362524043292040372806685294592000000
adderii_07.dimacs,52433222842278073584756655967851581266972304070467415776289275834965050083751474623154956655893332536954466172652397551935400192177524130888526158548213532413709622635861724705047939475570688000000000000
adderii_08.dimacs,151517476090912427753824877728585704133814545364713799076185670135944735608023963580486992931704581094128398450346602000979063392888155326182496603087146442102378851056258838359160704292041523200000000000
adderii_09.dimacs,791904438493609116298011235094936254065631573628834707215715813778148353544704633393148926239677122764724047802313254166862498917993011754061932029987421526513234713497152951395740214078996480000000000
adderii_10.dimacs,13931440229445025737110202136437638807590161763908905059049515865101256001426074978826215393300138231289609427767302560104280544369227188096769695927418802872677315948286702262723593371648000000000
adderii_11.dimacs,8203046153843026374004385713916285201696860043330348934011120628567316125583488986702643368030561035009211315289321158549157430272764585009518660342052557842630877891143741990188911008153600000
adderii_12.dimacs,8203046153843026374004385713916285201696860043330348934011120628567316125583488986702643368030561035009211315289321158549157430272764585009518660342052557842630877891143741990188911008153600000
adderii_13.dimacs,100081514437262438324495658411452543446427855788555454825406500629894160056379630054273497987497590552219941808996513152158544077854328943261017854700356961231268329506461290069932113920000000000
adderii_14.dimacs,150122271655893657486743487617178815169641783682833182238109750944841240084569445081410246981246385828329912713494769728237816116781493414891526782050535441846902494259691935104898170880000000000
adderii_15.dimacs,584071169374774933637745517307744318129492222655269192354339451111427934321969981133332607410182061096536093810113507524318594756691098319756460049303198459869136643078570181557422653440000000000
adderii_16.dimacs,1412128090181494969775927616947902694340076804032671091652954934673734954061097895516453079961660650354440893904387074451272904583040854257146316894945378653130849266957575470590206148608000000000
adderii_17.dimacs,1588644101454181840997918569066390531132586404536754978109574301507951823318735132456009714956868231648746005642435458757682017655920961039289606506813550984772205425327272404413981917184000000000
adderii_18.dimacs,1941728008373177917127075238228753500602760827321076865772873467544960219897419586181851476442461472425415415158623296790094212819866110051441232213681710042041711177433976791136993280000000
adderii_19.dimacs,2104209624584561794861575336666504591817097382808695912785030393978806547855136388290421959878177050966065146746328288304066050395561334436710296505565175884469991477754755201944780800000000
adderii_20.dimacs,2210743487395846185581338270502754413039647853985538030195297246260177049718859106663197105454209127345852962311268052430238519538061555992509809962563013983412205251004443772458106880000000
adderii_21.dimacs,1017083514094227232610382213020045660992741023392635282452736541985574914158124277422110602378692681411362728342139665996814713467916007972462690332622917920256820653714145658483926630400000000
adderii_22.dimacs,1017083514094227232610382213020045660992741023392635282452736541985574914158124277422110602378692681411362728342139665996814713467916007972462690332622917920256820653714145658483926630400000000
adderii_23.dimacs,2988117670851305287232727910009959988952869917524701978264537180391023490140042571643926588420237543547366622088327988264074898484912890933234372821612766185838629234051698593575731200000000
adderii_24.dimacs,9555960876798126541974663887364033309057558041996457337778034772282295703248757473330947682052477682987318699807429279288207642722119720670640918682298448361992746169613913299720601600000000
adderii_25.dimacs,177352681319980951869468743069548273040235343526603477882023997641612067842451249697222747581428866032484886707338766585459981997661292243278173358201419678627789520787996672000000000
adderii_26.dimacs,29579008380107467857166653983323401462146260639040239956292887275459668687347915803133363084888995246384693587802062689563109699775980057836803095574599831454870640001024000000000
adderii_27.dimacs,17920856975142343826015945192095989309935238322345462288963612073482583799627017650029429762674008221919244577265636854532021251904942000346977092186325944168710466541977600000000000
adderii_28.dimacs,730314768714094034356380847990357857804796991299516083516049531958707326565990666497484894757232047437539479855919039658799630748099467303966280251568130835252464582656000000000000
adderii_29.dimacs,22369933783498938602028155361917397305142685245765102236162566391485364423872558105433147315336947350022230080795804807515721745667053017719126188021805859151038598875185152000000000000
adderii_30.dimacs,22245039613867047298953360867183686323636474706649693932043042853207001411102239056107742598327632985078737594459897523758120552412795273971678575871058330923589107682639872000000000000
adderii_31.dimacs,8184471494761473720888942070031544292496235019173124556229397917452550530795942131800169852885285794511809493744856553905544960389539384847286849550036705594127864389831753728000000000
adderii_32.dimacs,12078677542405749908932042190409632010143323633096054356130318322046508687549064494557078539220450386682365509090461082992465745562979720031372976925699487734016780775083474944000000000
adderii_33.dimacs,370105049055202171958860744692705541169417517102674856301023202528944785782731885506151879598635278538165775858235766127221805367633682024284778538308402965612444119990272000000000
adderii_34.dimacs,370105049055202171958860744692705541169417517102674856301023202528944785782731885506151879598635278538165775858235766127221805367633682024284778538308402965612444119990272000000000
adderii_35.dimacs,1655301242695524995064722736150116413630152802162600232774422046284864162858967545180420690733055799799446808701688842161382664289219202224138382361426716676579131392000000000000
adderii_36.dimacs,1979961317844522840793047680178234657284408024160412528560483723432933892158028357849017323502201955174920268817113824831753738271621903167602678184675902806927029043200000000000
adderii_37.dimacs,19528226711902674477181986831887368784086782876266017867907260050091662891179717027795698056965513946636729322884532964472875583805370125913611114632698956329428270972928000000000
adderii_38.dimacs,352631565357137597935607246115607188402957338449225774970738399410835062513670791053917050729734284047223852182029605477347934223407906422127604251618240974415128952832000000000
adderii_39.dimacs,352631565357137597935607246115607188402957338449225774970738399410835062513670791053917050729734284047223852182029605477347934223407906422127604251618240974415128952832000000000
adderii_40.dimacs,68122068697430121483930454695180007283209039071052181465539963648397641455931746062550019247172213566097978856395866169510027080040508160968416400871042363161081381965004800
adderii_41.dimacs,2468599295006725111779406291085462118956434752649596923958659727641468970781180600570068679608384723372737063436525657639611784322298730597609931221088158283415899078656000
adderii_42.dimacs,1680344150502820359670965658691313253277187292650805158759280222966472812337548832701599173434096643786575585026465577441216521538999792776148232228876504078814806016000
