file old,file new,conjunction model count,percentage of old,percentage of new,retainment
adderii_00.dimacs,adderii_01.dimacs,53673995419669571453091107719597276487644906808254431571726800943687784628101107348582517444539692222838171632478597698849220184995823085594830143801834534030030440142094660986958703067619812630855680000000,6.761860344092378e-05,0.010683760683760684,6.761860344092378e-05
adderii_01.dimacs,adderii_02.dimacs,5023885971281071888009327682554305079243563277252614795113628568329176641190263647827323632808915192057652864799996744612287009315609040811676101459851712385210849197300060268379334607129214462248091648000000,1.0,0.75,0.75
adderii_02.dimacs,adderii_03.dimacs,17532456254079216037750580653718234113663411876570433346843351854822885983338388620475829551901338449509185374256271772355045290168129422189388004376042035367602858033532107202244042172739054915813376000000,0.0026173647781273946,1.0,0.0026173647781273946
adderii_03.dimacs,adderii_04.dimacs,17532456254079216037750580653718234113663411876570433346843351854822885983338388620475829551901338449509185374256271772355045290168129422189388004376042035367602858033532107202244042172739054915813376000000,1.0,1.0,1.0
adderii_04.dimacs,adderii_05.dimacs,291029317096617347325342138083212056270075169297937232994738839380075409412599980436794900290595484642047863288098183457098619058902268692630063708605841676462552120973976510500722600513370599718912000000,0.016599460616301527,1.0,0.016599460616301527
adderii_05.dimacs,adderii_06.dimacs,291029317096617347325342138083212056270075169297937232994738839380075409412599980436794900290595484642047863288098183457098619058902268692630063708605841676462552120973976510500722600513370599718912000000,1.0,0.4712139236074533,0.4712139236074533
adderii_06.dimacs,adderii_07.dimacs,78583848621876606882910200438872917921315174497163932937479233894687770466187621808746455195469517583632581285808942143525437742234874251209032989133085233657604308180009330803317145600000,1.2723736567404068e-16,1.4987415299315285e-15,1.2723736567404068e-16
adderii_07.dimacs,adderii_08.dimacs,52433222842278073584756655967851581266972304070467415776289275834965050083751474623154956655893332536954466172652397551935400192177524130888526158548213532413709622635861724705047939475570688000000000000,1.0,0.34605396152993906,0.34605396152993906
adderii_08.dimacs,adderii_09.dimacs,791904438493609116298011235094936254065631573628834707215715813778148353544704633393148926239677122764724047802313254166862498917993011754061932029987421526513234713497152951395740214078996480000000000,0.005226489108216509,1.0,0.005226489108216509
adderii_09.dimacs,adderii_10.dimacs,13931440229445025737110202136437638807590161763908905059049515865101256001426074978826215393300138231289609427767302560104280544369227188096769695927418802872677315948286702262723593371648000000000,1.759232497287923e-05,1.0,1.759232497287923e-05
adderii_10.dimacs,adderii_11.dimacs,640863570784403616486320826854161844294614591634796447795448116660132874129912548477235895570859237510647120685494616434705498133208621401527511764658202660168382102034486351159783063552000000,4.600124324762172e-05,0.07812507192638028,4.600124324762172e-05
adderii_11.dimacs,adderii_12.dimacs,8203046153843026374004385713916285201696860043330348934011120628567316125583488986702643368030561035009211315289321158549157430272764585009518660342052557842630877891143741990188911008153600000,1.0,1.0,1.0
adderii_12.dimacs,adderii_13.dimacs,6623784231041844062792614854929287806785950639652973454864951696533171484210193204052747761424193896750774603441719635397581964443746224929597730509740662032360693245218392886111895552000000,0.0008074786008534992,6.618389288257683e-05,6.618389288257683e-05
adderii_13.dimacs,adderii_14.dimacs,391799783899061272593363516685440707515064860424337970294930301988185342821629601595897004911472985464945614328628642895958284580879148816730784779287304842056955392186533667667968000000000,3.914806706334032e-06,2.6098711375560217e-06,2.6098711375560217e-06
adderii_14.dimacs,adderii_15.dimacs,150122271655893657486743487617178815169641783682833182238109750944841240084569445081410246981246385828329912713494769728237816116781493414891526782050535441846902494259691935104898170880000000000,1.0,0.2570273616083355,0.2570273616083355
adderii_15.dimacs,adderii_16.dimacs,584071169374774933637745517307744318129492222655269192354339451111427934321969981133332607410182061096536093810113507524318594756691098319756460049303198459869136643078570181557422653440000000000,1.0,0.4136106160877422,0.4136106160877422
adderii_16.dimacs,adderii_17.dimacs,1412128090181494969775927616947902694340076804032671091652954934673734954061097895516453079961660650354440893904387074451272904583040854257146316894945378653130849266957575470590206148608000000000,1.0,0.8888888888888888,0.8888888888888888
adderii_17.dimacs,adderii_18.dimacs,1941728008373177917127075238228753500602760827321076865772873467544960219897419586181851476442461472425415415158623296790094212819866110051441232213681710042041711177433976791136993280000000,1.222254881754697e-06,1.0,1.222254881754697e-06
adderii_18.dimacs,adderii_19.dimacs,1941728008373177917127075238228753500602760827321076865772873467544960219897419586181851476442461472425415415158623296790094212819866110051441232213681710042041711177433976791136993280000000,1.0,0.9227825905209122,0.9227825905209122
adderii_19.dimacs,adderii_20.dimacs,2104209624584561794861575336666504591817097382808695912785030393978806547855136388290421959878177050966065146746328288304066050395561334436710296505565175884469991477754755201944780800000000,1.0,0.9518108439904186,0.9518108439904186
adderii_20.dimacs,adderii_21.dimacs,12106009240040442325964671357992268359805650659742308143399208276715326727208174912532426776715084453699707295247629337363354801167343435932586156032407151249562009600000000,5.475990004747572e-18,1.1902669812538999e-20,1.1902669812538999e-20
adderii_21.dimacs,adderii_22.dimacs,1017083514094227232610382213020045660992741023392635282452736541985574914158124277422110602378692681411362728342139665996814713467916007972462690332622917920256820653714145658483926630400000000,1.0,1.0,1.0
adderii_22.dimacs,adderii_23.dimacs,2988117670851305287232727910009959988952869917524701978264537180391023490140042571643926588420237543547366622088327988264074898484912890933234372821612766185838629234051698593575731200000000,0.0029379275442414383,1.0,0.0029379275442414383
adderii_23.dimacs,adderii_24.dimacs,2988117670851305287232727910009959988952869917524701978264537180391023490140042571643926588420237543547366622088327988264074898484912890933234372821612766185838629234051698593575731200000000,1.0,0.31269672504692386,0.31269672504692386
