file,model_count
automotive01_00.dimacs,244186743869920677631980474043713709438901574802101252364999344776491579269643380063990654981454849278836040820816157900151609485612166380173678248877756690856718529261557542742632718043452151095667682021120909646731974335111645928736610368725161018959295095952103707932628569933810568551561864568012709603299138133035460512203605523929910319513600000000000000000000000000000000000000000
automotive01_01.dimacs,244186743869920677631980474043713709438901574802101252364999344776491579269643380063990654981454849278836040820816157900151609485612166380173678248877756690856718529261557542742632718043452151095667682021120909646731974335111645928736610368725161018959295095952103707932628569933810568551561864568012709603299138133035460512203605523929910319513600000000000000000000000000000000000000000
automotive01_02.dimacs,82241136751963299243267133047710064520193237532890894773537049604446284818292499566815814913557934641909197264949202988982502641284414404807687593277463084458720383962180327217663646187193012398697509591968813948225389005076372598314120568274825085416480539007004254415541825872569884310183365868022624216386135296690304474561784882353143808000000000000000000000000000000000000000000
automotive01_03.dimacs,82241136751963299243267133047710064520193237532890894773537049604446284818292499566815814913557934641909197264949202988982502641284414404807687593277463084458720383962180327217663646187193012398697509591968813948225389005076372598314120568274825085416480539007004254415541825872569884310183365868022624216386135296690304474561784882353143808000000000000000000000000000000000000000000
automotive01_04.dimacs,189645871616027220769343027624670936754499065077702939175512881620672182869013685052607197439323905213116221998351833766000130599807898640730880494452142383564031617702913225270216778383017311109761156453822004344220345349638165902987913458636845646516546005507884656433348133622639942505056936380673044492364183846391361487367503593800204288000000000000000000000000000000000000
automotive01_05.dimacs,1071694843765027121974466881484185425356915510083406662879642029836478109219303442221293842612276268036798808381222578169645885624499943210991422839142325285795938218520348987220091181079022793459814850940251026479539535977681229791930243956873025165622317663013611688354136038598060913940166241100861886877343231522417895104668132966400000000000000000000000000000000000000000
automotive01_06.dimacs,1080105331309806190477233172332358273600700514041588172628134462431766999108468242171977758259181178703222570279143859986482045648956274116288762142255049199549504635116464045798349141572029175014030295366073791570604156381185714573244502313566992450598246729497999692328776205341918341918473506246965144160693804446278155995036254208000000000000000000000000000000000000000000
automotive01_07.dimacs,2252002884142248252618287853348979170302576986780675832744101337022615672278488180213838324471889802410854725303441831535594027916219756340748760255253084794680303835090820006068525937341031674749423366597969363882843951097875579664103872191568995441215979378472151520978118571086199150576554650076133430636912558719214390751122581094400000000000000000000000000000000000000000
automotive01_08.dimacs,3977463647409701294289819653351215491234460426185520125816764196019664050247534963594029738846770748768405066529283368616247468304794295312311002545448131388093409936702900457752686354959932483778211065477122035164587223478192667538164578075943516829457817068333995945468917089172208605392540522481907375654789167949285451446811988328448000000000000000000000000000000000000
automotive01_09.dimacs,505233598376176861909435137814259144792379124286226294187475357272879599002657589954433367545539500879608364170387558803359384905214841532340132841769102797768589624024364043846885069902204603385270592067778403140922941706370167721064504979366858227690252876651739703398956502098986981561133520893908436729958550114404212314432788003553280000000000000000000000000000000
automotive01_10.dimacs,689785941828581103999558054067724376154440082851123959511158050408010570716156806240088328350744122018150835958537580486190297613043683235410424281701294204560332807980604110272993420544389630576711385479318156921454604215214698437591477714292192211224768394275255392883437659251112780784901561852608197784454809248042203777102971823718400000000000000000000000000000000
automotive01_11.dimacs,397584755944055670553169855467573956773469823408510229632986190008914597121275524182464526832580578887404357826835307097681831062082692544591418854119647541070905755112899580710621069717987330271444115184676322665493443336950529211990889809246603969260765880556137441710318528726137923266964024024433059209083192629286481921392989392948790432890880000000000000000000000000000000000
automotive01_12.dimacs,654199002941706692278630181240010016058850876733800256443356187354223882355628326004586840500709870189572933111673822196050407216026415538270803642537420174356380884973532012584989174789310253866807882282631861423101399017139438710709206221508788869835085930849314183460571233798244605932551523101210929290970334832755152880739954774677489975296000000000000000000000000000000000000
automotive01_13.dimacs,49661509138153859306790730887505076428061633990279347040447714111714337509254821378023297520008030217952256970500133750752199570947121517190986412992658399193738679613615507523190654165456637576752278822653498125708194039344007627586462579137581212248948247990176236437002927586067153923191617124113341730782554016648675731505905248932991493734400000000000000000000000000000000
automotive01_14.dimacs,137011336446358048933282403613673235589751676089398399658746996915457378682199187823384163226544078881666166058148196631257000233858271593306379642486147820726573835224774093429550298610305730166989319356242750714821746732289797108990187473048751559193740205277875137763703112716813568201646713559311595164923563392629373876758286823787069440000000000000000000000000000000000000
automotive01_15.dimacs,2510285799861146325943932592988880868557068918250981044748409273958457699841071613898758505734532299264384647738851088553325170875080824221078493213432739054829238014582422752497313759846414477045295432462608614756638563664941011056201499640091069038308698769696535279738676586269733017624513071269757715953298230280868939141129556057952079712519056261120000000000000000000000000000000000000
automotive01_16.dimacs,4086647812305262260585667143226962856682430533308113609916029829255348622446758370592031907994472342004231068656080910364036564007815393650776709485814683423876997560939954417991403698287745233234788878232371793726732074737162448919625362871387657578901066344723377925915972471372452497048463140571272316289875176538827693295741710186970117394281791488000000000000000000000000000000000000000
automotive01_17.dimacs,19591433348032708233816241454571230410747176752340863917473660477820272177662781813140723126843120084354624968599390039310999378344452408481903001196994642943001824112737507941634397594740731397304990487709587656576710716119402666698316332600469781412527645962008252448771986349314173323707766257802953875106814534277511167867970772258194599807522177024000000000000000000000000000000000000000
automotive01_18.dimacs,47078854550072716292070428843756226299781008706784156303468737385802279365129816322665242211891922747116939720996633367184205853499350782463771651757924254910968723552449295951206857999071676132396628721623143160631946713556311647052844449682427806287802500905148452823214183214355221623061845292375382023958358886483452948551543448340817887887360000000000000000000000000000000000
automotive01_19.dimacs,480169074157404047759880376339910550458489687308932762618939528404512544643418536081345016320207018813433973692514660455485032570079625808308510264454311315068972813657964647785683170557246997202650564493318828309734614315263400658222706691071047761201581872265261506954853087656311764459605409042140575039157166042312355585967724755799199953830543360000000000000000000000000000000
automotive01_20.dimacs,1012152371639060845386347112710573973576445656728944237013851223576572693377326536042143993986997061039043208781130573811064647204360892617881692956958946358338290195412503441377805627527639109514485710356729279636558263848815965843917839047669017238122665188790596954424546002323703301960267167052391755657614352191422152152024887144158854590863769600000000000000000000000000000000
automotive01_21.dimacs,1707901745552501730219626399649331305873619021868216814520474358740802296806453666390512272396749447300759651942458347330379206398446951599000720396486209992193277882328965438825463885587252755464555054650665473680991844704115951021613913610099714428976443307739030781979731712517082089562774139923922183995469408575951680400460230813144731153355243520000000000000000000000000000000
automotive01_22.dimacs,1123534215164602900891719964853041368644438485504854175954886141009870008577897974039738135176909643584858236409855146589308286194762207473802192498300010325517991960951369937960569192810769579292908998358473207205350739912138244000613812424478732574345129229900006554484784004658922349472679580587168401405900143009268289165159718470696304640000000000000000000000000000000000
automotive01_23.dimacs,2592483455123370189923068201161589188561546390756330548451927167462033311796754898194427024863984558498775146818630431255910596310032493139128359475240912108351573294418214975954977919483599652721081601169426480738484384701822671158670202904014188257328495014402642933656862170135886574457266702720461423312424101252911152975428822427185971200000000000000000000000000000000000
automotive01_24.dimacs,281644374348995177298432255794996662706479119554817785958848793256523774372262316103328225119175052087176228942935991752009933858133818410990857312942597489881346965540288081976250657620787716899240901479711419354167632125987089907468649824915886228736765498197747634542044560484906490993407497732059017872370834344174440760741986304000000000000000000000000000000000000000
automotive01_25.dimacs,1225422430592989433062995597084223739425226853466293674482227435848023849338389333821889727821944721701063330520570345691108968477874401491898151222257934447304168712665762072228033155064539586886722551102635656775820695239326074021193208364286949358743159207188472673127134876125815313679188954625362012884987978718623301632000000000000000000000000000000000000000
automotive01_26.dimacs,15853221054968206136687184830823264433780041290428837936970450340749700822876025901448807686068322272031569213041914511230927867065590914664497406191402533536425986180238131955232563925097122020583868065676798580935539726808318991264555586414226037892982891193407997516943198259818634927520449420725032330167314911884103122944000000000000000000000000000000
automotive01_27.dimacs,253058973220690821209964487979531955714807912600870355167120840379347263498440985728012426106996188557350294166053110074699320640735523422447817076195875480665991765801792787157709689203720343671701316669323254933601577772585385038387773139549762121759101273394016657253421958358104290826363649304459270722056549616844800000000000000000000000000
automotive01_28.dimacs,1487184235678901310383676715931199308828387087237928810500350451811152355557336676441216024553673727906682972858083991196478482094596552438675708591782279458219471118682977752534558740630327307212604222868249234898292632405487808722274844215751716647433058028246847574472222283731532379128830528168307628629769764995072000000000000000000000
automotive01_29.dimacs,13320183844404044537806250025356284480301001767512362331701136499648136055232686503802182614763095552012923949940925258596061811321686251960682285026740157364892307370783936927239475475724481747129870512916468577655473841299787540644852268320115625461488619549030498624472316539816328402893614526437817419880638279843840000000000000000000000
automotive01_30.dimacs,41169705345583769533283886902027336264585292988453799689002524738793847892782247628704202593219085322181755509712475571036173910318904744073473885559691858903761534079033533704325481071112334881618944322662566575574039775282510296421396054201040674257416700947252341298094099783815666893857785974348259462385495639546920960000000000000000000000000
automotive01_31.dimacs,205845067911664850182037823760263321343540840777975062102692064677179381707145927280439152829402108460833722378242720769314658812946570314868195453225903420110403253971428325151805461807984594363614260404670935793154707402517393697665267933303705527464428800656266128468223299451213044623086559695458212342124020343410524160000000000000000000000000
automotive01_32.dimacs,5721522760268902351296806906937441800064354676568656406796847440337858361663589226934123933159313915976745394302566989933658865284391155682846084964416417111979042318443922574490966436964180972787826325103222233594088148654752420239284741384014456899602276237248339011936113145024581586846632986079999080318067065927761920000000000000000000000000000
automotive01_33.dimacs,2752533865147624716443008686679612772502382901392363123788872738466329731838498673478563085136159572932162884488902654746239048731649546173845562392164705360851001798701956144460261214612971223351147886786457436604571913274853999229559003105266353596958947565320321486128543912707427036637895326604141929501828389326028800000000000000000000000
automotive01_34.dimacs,92311389948567551789472598510466283661235565544348832331032428733366246419781596092062358513446659391605332307861430035901943288441242702084940768956673165894993055930057674605229928188837687341091267854292326660454731520942997982289700265936042528938517333682041720680241267462090643838308945432259067904000000000000000000000
automotive01_35.dimacs,92311389948567551789472598510466283661235565544348832331032428733366246419781596092062358513446659391605332307861430035901943288441242702084940768956673165894993055930057674605229928188837687341091267854292326660454731520942997982289700265936042528938517333682041720680241267462090643838308945432259067904000000000000000000000
automotive01_36.dimacs,252872405324606220680139782868392362230606563433583191453180960960837743800972032963592575168240716859048101440048080906712074629808693502376798488050554612996490032053873728049535991352182776889668910932639048685898830768167765688685545248721905272842077565408677521020478833822772390727698370812478226432000000000000000000000
automotive01_37.dimacs,1972921288407708491670983959212403549312794901542045014749948587171526306347745612693030765148453756814684746975644998740463031247471390616057222497590668894459957174674598106925379348520508767379822604333828964547012657355637606806800741386201119086818709223362074677398374525744102667629837072465920000000000000000000000000000
automotive01_38.dimacs,9522050456839671852872794055110693228807960574301071920806145307781830574416634790995936276590796145133768720084015333365948018360247132738683440696022117225260888043077401329058561016828684576567356182816167636063836890657918390323057979620310132231273409917491027238428897669946190845836913048540938240000000000000000000000000000
automotive01_39.dimacs,17605110349479909204551737047769681824327202865689881691742439586975717048226010631024791692996176533914353367871118264476357405239559174918439887730355041581476730704997759481223136102078084068291709037994341702335455627801911498532480846684270326813259544231895596540630024775542594333976861744320164659200000000000000000000000000
automotive01_40.dimacs,11780792894126624071650748288598238451681787193046433012388882805704980483145019006525568831369054357508558745289372696430967213687066172329065460565888974089044047288070937109702081855148380190521184311891908749469775590742156587783570398993015334730607261976813364612384832153687460042604630587211776000000000000000000
automotive01_41.dimacs,635231659234183378744457915743963949396022180811837728560382061455417377118722693291240231836862645221743187879600477632400866230074945457573542682162865975733286278117641799354208590864859495517422618785698329209841060233272851919992002938860490405161179848003262081385100340101120000000000000000
automotive01_42.dimacs,220897391139151654458423907733911001597404319192680592221256117449901156610826290224815968073205314465896131407125670508480167245110324844538463601058218485256553899812534870498378139495198831478051387710899307860114251861189719723134192764722445880674369857913625164694190934720512000000000000000000
automotive01_43.dimacs,27692541304229038108246282779179030745469871226317415684944360200684705999882059330457035642236142973537571032651399277307267586109967668323662000562531123440493996088541071681685990883487786257251749497676508509791296735822439476010959785080189030507828538374461097990447349555527680000000000000000000
automotive01_44.dimacs,1909818612008022602534515306916600260889948780631664500739710017420531188214332758940115979566748039386010653272925873722459355980497942351189236179491183910702642751357917795910082701930201329231613844080741264340019082526891138199865231287423716732065737088645213003382794905190400000000000
automotive01_45.dimacs,1809558402324131881187024253503992350764100825140412650095831679290354989873815667370040411205218983308628658458820723481720201855641970941378929298819258923622455244322943656099868162384265141829898528620283480244777237151367886563294349411676220195861419434669365158268108800000000000000000
automotive01_46.dimacs,2095186518354194860003379644433002469412087055096469491076066792849654933943914117746340896113760477886725256742374134076142008233767296872385210095957054241737861195969699467938748067977533927151288004004428068368580257200004416196791587994057166535072031438381043819545772866456780800000000000000
automotive01_47.dimacs,72712536024551799819467836880425566119822804764999609464560638144730332625464740963901376004194247395694406475776901100211133247175131641678899817427743914101031602969653978131008009670996066859693648254506599000464137595826105761295245615081870874376142848000000000000
automotive01_48.dimacs,2119692242487500312988870516790933758281072972186251083302518358342325369598301036214759268030984603974917042358520079092845433482588468153304370055575524084731638283568753282835016815871001878984953285477305485968453664768000000000000000000
automotive01_49.dimacs,54337953889526644797436357304783500234473556203012469981705794070419609376066883019863858681556047971579366711252721976681982553481954710208375451836305175948768348959659511355551303323044387225600000000000000000000000
automotive01_50.dimacs,54337953889526644797436357304783500234473556203012469981705794070419609376066883019863858681556047971579366711252721976681982553481954710208375451836305175948768348959659511355551303323044387225600000000000000000000000
