file old,file new,conjunction model count,percentage of old,percentage of new,retainment
automotive01_00.dimacs,automotive01_01.dimacs,244186743869920677631980474043713709438901574802101252364999344776491579269643380063990654981454849278836040820816157900151609485612166380173678248877756690856718529261557542742632718043452151095667682021120909646731974335111645928736610368725161018959295095952103707932628569933810568551561864568012709603299138133035460512203605523929910319513600000000000000000000000000000000000000000,1.0,1.0,1.0
automotive01_01.dimacs,automotive01_02.dimacs,82241136751963299243267133047710064520193237532890894773537049604446284818292499566815814913557934641909197264949202988982502641284414404807687593277463084458720383962180327217663646187193012398697509591968813948225389005076372598314120568274825085416480539007004254415541825872569884310183365868022624216386135296690304474561784882353143808000000000000000000000000000000000000000000,0.0003367960743838474,1.0,0.0003367960743838474
automotive01_02.dimacs,automotive01_03.dimacs,82241136751963299243267133047710064520193237532890894773537049604446284818292499566815814913557934641909197264949202988982502641284414404807687593277463084458720383962180327217663646187193012398697509591968813948225389005076372598314120568274825085416480539007004254415541825872569884310183365868022624216386135296690304474561784882353143808000000000000000000000000000000000000000000,1.0,1.0,1.0
automotive01_03.dimacs,automotive01_04.dimacs,189645871616027220769343027624670936754499065077702939175512881620672182869013685052607197439323905213116221998351833766000130599807898640730880494452142383564031617702913225270216778383017311109761156453822004344220345349638165902987913458636845646516546005507884656433348133622639942505056936380673044492364183846391361487367503593800204288000000000000000000000000000000000000,2.3059733742250336e-06,1.0,2.3059733742250336e-06
automotive01_04.dimacs,automotive01_05.dimacs,1071694843765027121974466881484185425356915510083406662879642029836478109219303442221293842612276268036798808381222578169645885624499943210991422839142325285795938218520348987220091181079022793459814850940251026479539535977681229791930243956873025165622317663013611688354136038598060913940166241100861886877343231522417895104668132966400000000000000000000000000000000000000000,0.005651031760579895,1.0,0.005651031760579895
automotive01_05.dimacs,automotive01_06.dimacs,1071694843765027121974466881484185425356915510083406662879642029836478109219303442221293842612276268036798808381222578169645885624499943210991422839142325285795938218520348987220091181079022793459814850940251026479539535977681229791930243956873025165622317663013611688354136038598060913940166241100861886877343231522417895104668132966400000000000000000000000000000000000000000,1.0,0.9922132709644346,0.9922132709644346
automotive01_06.dimacs,automotive01_07.dimacs,1080105331309806190477233172332358273600700514041588172628134462431766999108468242171977758259181178703222570279143859986482045648956274116288762142255049199549504635116464045798349141572029175014030295366073791570604156381185714573244502313566992450598246729497999692328776205341918341918473506246965144160693804446278155995036254208000000000000000000000000000000000000000000,1.0,0.4796198703454152,0.4796198703454152
automotive01_07.dimacs,automotive01_08.dimacs,3977463647409701294289819653351215491234460426185520125816764196019664050247534963594029738846770748768405066529283368616247468304794295312311002545448131388093409936702900457752686354959932483778211065477122035164587223478192667538164578075943516829457817068333995945468917089172208605392540522481907375654789167949285451446811988328448000000000000000000000000000000000000,0.001766189410953909,1.0,0.001766189410953909
automotive01_08.dimacs,automotive01_09.dimacs,505233598376176861909435137814259144792379124286226294187475357272879599002657589954433367545539500879608364170387558803359384905214841532340132841769102797768589624024364043846885069902204603385270592067778403140922941706370167721064504979366858227690252876651739703398956502098986981561133520893908436729958550114404212314432788003553280000000000000000000000000000000,0.00012702406436956555,1.0,0.00012702406436956555
automotive01_09.dimacs,automotive01_10.dimacs,505233598376176861909435137814259144792379124286226294187475357272879599002657589954433367545539500879608364170387558803359384905214841532340132841769102797768589624024364043846885069902204603385270592067778403140922941706370167721064504979366858227690252876651739703398956502098986981561133520893908436729958550114404212314432788003553280000000000000000000000000000000,1.0,0.7324498336930917,0.7324498336930917
automotive01_10.dimacs,automotive01_11.dimacs,243744187648492896375987501884061559617204165248947923629572662857974841343994374912441892265078393521523166146785983736582885461561199847706097633063824335985563388517904562670165356697962648915274098786018855862616245782648267159407162208818228299826681817504970459539164874865268453859627905417934174152791425024000000000000000000000000000000000000,3.5336206911138505e-19,6.130622062451264e-31,6.130622062451264e-31
automotive01_11.dimacs,automotive01_12.dimacs,397584755944055670553169855467573956773469823408510229632986190008914597121275524182464526832580578887404357826835307097681831062082692544591418854119647541070905755112899580710621069717987330271444115184676322665493443336950529211990889809246603969260765880556137441710318528726137923266964024024433059209083192629286481921392989392948790432890880000000000000000000000000000000000,1.0,0.607742833841468,0.607742833841468
automotive01_12.dimacs,automotive01_13.dimacs,1697195142734070519691808259048171054596339013573027118558558713753864522864907185995187459972423050866054697893008630287943815782249526394055196182034054650538530391537956405270868796671621947538384077082832050539952437462363207310806342379259629733059152378533913757961478697050265482639317813985134707537464636443516920882085701898731520000000000000000000000000000000000,2.594310194760877e-09,3.417526314016407e-05,2.594310194760877e-09
automotive01_13.dimacs,automotive01_14.dimacs,49661509138153859306790730887505076428061633990279347040447714111714337509254821378023297520008030217952256970500133750752199570947121517190986412992658399193738679613615507523190654165456637576752278822653498125708194039344007627586462579137581212248948247990176236437002927586067153923191617124113341730782554016648675731505905248932991493734400000000000000000000000000000000,1.0,0.3624627744405447,0.3624627744405447
automotive01_14.dimacs,automotive01_15.dimacs,310382581752972011690851235561614422886972210087533834332671221599542706147876324745033383171074933429212510826756359125874020619600949703923663666273500645249529629573590715149372837712538955487136374007585576162146657903540491265189929972725355381741493918090140494372984408654925459901549607566408262624895607767040000000000000000000000000000000000,2.2653788350899807e-27,1.2364432040771631e-40,1.2364432040771631e-40
automotive01_15.dimacs,automotive01_16.dimacs,2510285799861146325943932592988880868557068918250981044748409273958457699841071613898758505734532299264384647738851088553325170875080824221078493213432739054829238014582422752497313759846414477045295432462608614756638563664941011056201499640091069038308698769696535279738676586269733017624513071269757715953298230280868939141129556057952079712519056261120000000000000000000000000000000000000,1.0,0.614265264626536,0.614265264626536
automotive01_16.dimacs,automotive01_17.dimacs,4086647812305262260585667143226962856682430533308113609916029829255348622446758370592031907994472342004231068656080910364036564007815393650776709485814683423876997560939954417991403698287745233234788878232371793726732074737162448919625362871387657578901066344723377925915972471372452497048463140571272316289875176538827693295741710186970117394281791488000000000000000000000000000000000000000,1.0,0.20859361026362203,0.20859361026362203
