file,model_count
ea2468_00.dimacs,50309121604714988765374234893782381028067515495694750590380301162910568815902844269179584742397801900796878041049032783143624575558234953997117465466957871890049929143636537673646842722335760968907985863237123213619929072318172190736384000000
ea2468_01.dimacs,1806448675307409129133829178839670735456315984585949750191267979281932704788764333295084274304055482361079710025173869141020123498393633872237480187256982865878594613316818450515267892879422961400966346395668331792607909741373978941849600000000
ea2468_02.dimacs,98717637027933229050367125757465035982538869258070135469484039888546802534826452408157588931504339267691149016403907573740811384520510982193589363449758354521892585203227800005600171129677808867142329546136504556516639524392709270798336000000
ea2468_03.dimacs,143039282270693963182813372200085746713470446730967384850010512450649854194660880780872177630485530554803620558164978479384137223640379732743758877847115404220160472515668095243739662008847848864857425053405369784480079429244173512867840000000
ea2468_04.dimacs,1798345189343009762511751580680294643483809008247709980282932960693587221095234488704403193101662622544335415079817874183904270504837037079822390704962122156333750883736147559095932612994481689511456661394712752089380667732047660318720000000
ea2468_05.dimacs,3394278955443105702802817122354942065385610254527949835187673104234459983119221947509814999994599432811075246714217586604684261851191743152372796449313094970770259115914298562348237204983355492079291842350930805237597502297069322240000000
ea2468_06.dimacs,1574878442977796247961636036540015060271843178951208303464543721553521646772915314790326992596178453940796590621843390100627352414837484775138759668340829097457713974670104645457956768956915434729553007774996019995931341115136933888000000
ea2468_07.dimacs,4723683645510436542374463990285699859002834498334374309870694620349535503982752714660371395179829668317998302395859668539055456538854663632922665236502232607235880366882755332910731789141314860814817353497075895863229635136206143488000000
ea2468_08.dimacs,4723683645510436542374463990285699859002834498334374309870694620349535503982752714660371395179829668317998302395859668539055456538854663632922665236502232607235880366882755332910731789141314860814817353497075895863229635136206143488000000
ea2468_09.dimacs,139149186248988287056807686646036502735949711618354439751631432973407412551877900944458827180978904816637159360219566580234705264658491904530317666934232741101872850163991645323403609874832553055272943514634879853296506250054289535795200000
ea2468_10.dimacs,79771842790856806074016487832939962910254460814511382329723792359779436901269327434504155505677615064396105404293114861999636516007798861408267160442943638825643959904714140779289651295171783899305517461317202669120184070543769600000000
ea2468_11.dimacs,1395252955290409465659028010159751728925604090810418378371562340804490765073907383456664447304081998285966782858531334750409743687136965130197016377129840299441232587090520038675523240321377435371759594029666818859188078002317557760000000
ea2468_12.dimacs,1395252955290409465659028010159751728925604090810418378371562340804490765073907383456664447304081998285966782858531334750409743687136965130197016377129840299441232587090520038675523240321377435371759594029666818859188078002317557760000000
ea2468_13.dimacs,1395252955290409465659028010159751728925604090810418378371562340804490765073907383456664447304081998285966782858531334750409743687136965130197016377129840299441232587090520038675523240321377435371759594029666818859188078002317557760000000
ea2468_14.dimacs,361528502134349731264515381605552355190542995854802827056092610639749605794954183605990755348850423230945197243955912839649139615487638349732466126929096117775883197008013685195774163378690423421815956114854039996883657293572341760000000
ea2468_15.dimacs,361528502134349731264515381605552355190542995854802827056092610639749605794954183605990755348850423230945197243955912839649139615487638349732466126929096117775883197008013685195774163378690423421815956114854039996883657293572341760000000
ea2468_16.dimacs,374132101369870249926001528458731097215559737893706294806544268421525802986168185718963516855844222208183110668889305741117497014204612748843713591346692801710043299548679186005918495112082185864451277836447901976436583366760857600000000
ea2468_17.dimacs,748163677014226114623941828772979253630953952313953949837838716177277103759676824919308812516068130602109675123301307159157217388487619325621311559220072957916134290496517079327084167777401535604878668395053006828057938026823680000000
ea2468_18.dimacs,2812049627667148251154519220983141651231430448702324216574703033354025970272349611888626298989315010568341415233694160897853773316004098271220069648737841783764869312703528905425282201558654124046993720866463629302326539111628800000000
ea2468_19.dimacs,939075722696410015684930422706760868372835506231495070475240635197295722294874402827534689057145483454531377298006976516684799747229911188566696881923777305093405865256564784675049391175775215246930871080126436585886449664000000000000
ea2468_20.dimacs,2781701886746895006586698278102181086029833604313677671589445373719347776467154320880558742950567026484389100300590016289329072956902861380166688450817036529940093382384539019668601396902134841700327298009312612178303385600000000000000000
ea2468_21.dimacs,4545707431705351863390424298021702918182783183895215701013714920648112287101533215713969073310257741682218259107209389673194408482719861977445913417406455635881663748538150978207057248899660049598623037303211118363861990768640000000000000
ea2468_22.dimacs,3258156918715292061644367158515817420084548126594757538190856759060975154509629979295243592523701465234040159728451955067156921068543273345999157461960963913196751571413534548109512513167112378223175731824959992436359168000000000000000
