file old,file new,conjunction model count,percentage of old,percentage of new,retainment
ea2468_00.dimacs,ea2468_01.dimacs,900813055943824813596141991756484292505342712337033988066492294796149912574558332428157520585847764674989847265012630350970565634218626862330682033677672279219677537663905931483869423728663209480627446171991356096518776854413312000000,1.79055612026309e-08,4.986651811685325e-10,4.986651811685325e-10
ea2468_01.dimacs,ea2468_02.dimacs,98717637027933229050367125757465035982538869258070135469484039888546802534826452408157588931504339267691149016403907573740811384520510982193589363449758354521892585203227800005600171129677808867142329546136504556516639524392709270798336000000,0.05464735222058503,1.0,0.05464735222058503
ea2468_02.dimacs,ea2468_03.dimacs,1470699459837345756132720046075050979690853271008486204090497107616575973587879163848190504611836320884146405407000053898168456766272401514177091755195288970707659065232104000133918900949523926561697909601785063446298490580531937280000000,1.4898041566991675e-05,1.0281787188040611e-05,1.0281787188040611e-05
ea2468_03.dimacs,ea2468_04.dimacs,1798345189343009762511751580680294643483809008247709980282932960693587221095234488704403193101662622544335415079817874183904270504837037079822390704962122156333750883736147559095932612994481689511456661394712752089380667732047660318720000000,0.012572386835245303,1.0,0.012572386835245303
ea2468_04.dimacs,ea2468_05.dimacs,3394278955443105702802817122354942065385610254527949835187673104234459983119221947509814999994599432811075246714217586604684261851191743152372796449313094970770259115914298562348237204983355492079291842350930805237597502297069322240000000,0.0018874457337543407,1.0,0.0018874457337543407
ea2468_05.dimacs,ea2468_06.dimacs,1574878442977796247961636036540015060271843178951208303464543721553521646772915314790326992596178453940796590621843390100627352414837484775138759668340829097457713974670104645457956768956915434729553007774996019995931341115136933888000000,0.46398026315789476,1.0,0.46398026315789476
ea2468_06.dimacs,ea2468_07.dimacs,1574878442977796247961636036540015060271843178951208303464543721553521646772915314790326992596178453940796590621843390100627352414837484775138759668340829097457713974670104645457956768956915434729553007774996019995931341115136933888000000,1.0,0.333400490203153,0.333400490203153
ea2468_07.dimacs,ea2468_08.dimacs,4723683645510436542374463990285699859002834498334374309870694620349535503982752714660371395179829668317998302395859668539055456538854663632922665236502232607235880366882755332910731789141314860814817353497075895863229635136206143488000000,1.0,1.0,1.0
ea2468_08.dimacs,ea2468_09.dimacs,25353441348225592887637937257865526086174598191081466995644159926404627559873808674811051189490405819491850772546724253022427755023967840625636421258869840085692896253524655504259872052078164496651224163876469441808387226840806195200000,0.005367302988700871,0.00018220330302801127,0.00018220330302801127
ea2468_09.dimacs,ea2468_10.dimacs,79771842790856806074016487832939962910254460814511382329723792359779436901269327434504155505677615064396105404293114861999636516007798861408267160442943638825643959904714140779289651295171783899305517461317202669120184070543769600000000,0.0005732828551948273,1.0,0.0005732828551948273
ea2468_10.dimacs,ea2468_11.dimacs,140368154098063398237866426655700265105983413338333497381099614862028601504762376328995837558172694528696439786393496907710423626192203740154740195458254375065914024980200599312135133873494579482398967040597478430260582154240000000,1.7596203019413254e-06,1.0060409015141417e-07,1.0060409015141417e-07
ea2468_11.dimacs,ea2468_12.dimacs,1395252955290409465659028010159751728925604090810418378371562340804490765073907383456664447304081998285966782858531334750409743687136965130197016377129840299441232587090520038675523240321377435371759594029666818859188078002317557760000000,1.0,1.0,1.0
ea2468_12.dimacs,ea2468_13.dimacs,1395252955290409465659028010159751728925604090810418378371562340804490765073907383456664447304081998285966782858531334750409743687136965130197016377129840299441232587090520038675523240321377435371759594029666818859188078002317557760000000,1.0,1.0,1.0
ea2468_13.dimacs,ea2468_14.dimacs,361528502134349731264515381605552355190542995854802827056092610639749605794954183605990755348850423230945197243955912839649139615487638349732466126929096117775883197008013685195774163378690423421815956114854039996883657293572341760000000,0.2591132315925472,1.0,0.2591132315925472
ea2468_14.dimacs,ea2468_15.dimacs,361528502134349731264515381605552355190542995854802827056092610639749605794954183605990755348850423230945197243955912839649139615487638349732466126929096117775883197008013685195774163378690423421815956114854039996883657293572341760000000,1.0,1.0,1.0
ea2468_15.dimacs,ea2468_16.dimacs,25378457251626985507023290610775286285633447658685221201255853925551068864290593139849405409236943596519051673785148874208152207253994172311111184940246955410640093968482039857115259020632492820961715895831371863641638121464083251200000,0.0701976665789851,0.06783287816978213,0.06783287816978213
ea2468_16.dimacs,ea2468_17.dimacs,4312905833939216139326817197598793254347373121744693190247664611870771463352177354709383079641237440891698515059905966050401410673913452153471460998372054961436487315636644701021527217710991288741167483773281419140458285629440000000,1.1527762034179044e-05,0.005764655471047691,1.1527762034179044e-05
ea2468_17.dimacs,ea2468_18.dimacs,748163677014226114623941828772979253630953952313953949837838716177277103759676824919308812516068130602109675123301307159157217388487619325621311559220072957916134290496517079327084167777401535604878668395053006828057938026823680000000,1.0,0.2660563560661254,0.2660563560661254
ea2468_18.dimacs,ea2468_19.dimacs,9496266721587127436615124691103014621254341090318699191284797152690053959824311882113043956942878282501832908723963831076355763613567648575792050174913019337530810444915505023069239549411565738414040218005130717429760000000000,3.376991155545554e-09,1.0112354618560549e-08,3.376991155545554e-09
ea2468_19.dimacs,ea2468_20.dimacs,0,0.0,0.0,0.0
ea2468_20.dimacs,ea2468_21.dimacs,2781701886746895006586698278102181086029833604313677671589445373719347776467154320880558742950567026484389100300590016289329072956902861380166688450817036529940093382384539019668601396902134841700327298009312612178303385600000000000000000,1.0,0.6119403697970331,0.6119403697970331
ea2468_21.dimacs,ea2468_22.dimacs,3258156918715292061644367158515817420084548126594757538190856759060975154509629979295243592523701465234040159728451955067156921068543273345999157461960963913196751571413534548109512513167112378223175731824959992436359168000000000000000,0.0007167546454904541,1.0,0.0007167546454904541
ea2468_22.dimacs,ea2468_23.dimacs,2196089728367378008527536170220698008993676355132694413644459549691210622481563465156768547828353730665087499160729288366314747766014302276911154115800437934553332179934353500828008954750515633186686690881070694400000000000000000,6.740282261277052e-07,1.0,6.740282261277052e-07
ea2468_23.dimacs,ea2468_24.dimacs,403086337142193508026649982963912619420913485004052913754222595904702380871633147258589966129414574640388535054026820929450993936957815141886054922870785260642204337857528343937137726116743957431155800613165465600000000000000000,0.1835472986078109,0.03721627764406627,0.03721627764406627
ea2468_24.dimacs,ea2468_25.dimacs,2998623546454872362726604915105297591322169328372677915482337053547392831875652332810203856318743345088723066594526198413612076315366050276541251560429653039640480301247816901924714463417217538655328442882457600000000000000,2.768578246687925e-07,1.0,2.768578246687925e-07
ea2468_25.dimacs,ea2468_26.dimacs,1609712188417705584929719307256956846098258765931131398182967441428901799662577402199889958019595203835757341716591056823957249004317129113961919308101212363710222090199152512204800000000000,5.368170307075693e-34,2.556640975909941e-34,2.556640975909941e-34
ea2468_26.dimacs,ea2468_27.dimacs,36058260847367664775331964298329173818412642549912017907390433668278193770501618499977865975310085316642047914755567001503849157233610547844905688158898480993340515414112229458144512704512000000000000000,5.726988207317178e-21,2.9502716488685653e-24,2.9502716488685653e-24
ea2468_27.dimacs,ea2468_28.dimacs,34871304240005589636745414072500746970266201849610289000728784778877233071084037342673909447081326074895519875385026606597242686552672823958719911042018455699271294809682092215357846216460163868524544000000000000000000,2.853155361370379e-09,1.0,2.853155361370379e-09
ea2468_28.dimacs,ea2468_29.dimacs,19293700133847127117429510007272944841384809053694937335007469171163813621182495746497333415006317973212398257633823783432666473659408100656823091035477901783842829278366222024145871922240677740544000000000000,5.532830088905224e-10,1.0,5.532830088905224e-10
ea2468_29.dimacs,ea2468_30.dimacs,198046578596028664193543324926877958867327680973674893844952012557024129572180778892188605900052456599849220562254782418612435980228256894542445521174998238326618383474019532800000000000,1.0264831381337457e-23,1.0890132674270201e-20,1.0264831381337457e-23
ea2468_30.dimacs,ea2468_31.dimacs,103812460731812780428307428846982077920476042954898243815170931365864628151299207961168594362891975006087583116315492610594686613106134645004990892088817963509370260151904746112591403411026686771200000000,0.005708412024213462,1.0,0.005708412024213462
ea2468_31.dimacs,ea2468_32.dimacs,21452360468381792525275885357237090272726719796443516641248996637494925151520814056686446179427315627729252698260196887335062979641884553573597047685120000000000000,2.0664533252709836e-40,1.7857387991136264e-44,1.7857387991136264e-44
ea2468_32.dimacs,ea2468_33.dimacs,280420591029408719081610118128431606917336300045989799486159802127920806175061938014099627368649982148832488895018092691530847159683790378403383738368000000000000,2.334278925667163e-46,1.1084505505845462e-48,1.1084505505845462e-48
ea2468_33.dimacs,ea2468_34.dimacs,10336949449839639179558861312295374468288065756694048969374742534494666955816704056051901421362038216974587372124718112659274127552308035119728856929224027406029517281225722320567553155399680000000000000,4.0860042648714506e-08,1.0,4.0860042648714506e-08
ea2468_34.dimacs,ea2468_35.dimacs,62686338238132038465032101072269253193149716714735839013431754638923572557097852997852693586236310189442581160503716634862248840732797817603823728811075662899024059428358196107232585376071680000000000,0.006064297648191026,1.0,0.006064297648191026
