file,model_count
uclinux-base_00.dimacs,179194442682411729690018321530880000
uclinux-base_01.dimacs,179194442682411729690018321530880000
uclinux-base_02.dimacs,182638833699853569760946112430080000
uclinux-base_03.dimacs,102995771929697901439097398886400000
uclinux-base_04.dimacs,149974525551113453088314228736000000
uclinux-base_05.dimacs,149974525551113453088314228736000000
uclinux-base_06.dimacs,150718200884424759467264547225600000
uclinux-base_07.dimacs,150718200884424759467264547225600000
uclinux-base_08.dimacs,100154379409040101712364306432000000
uclinux-base_09.dimacs,115616860704709510102181845401600000
uclinux-base_10.dimacs,2867487264853436854859716362240000000
uclinux-base_11.dimacs,6804562382565351073838530560000
uclinux-base_12.dimacs,2314461520108959200566050816000
uclinux-base_13.dimacs,45270183198700128622451097600000
uclinux-base_14.dimacs,45270183198700128622451097600000
uclinux-base_15.dimacs,3304546599777190586980761600000
uclinux-base_16.dimacs,3304546599777190586980761600000
uclinux-base_17.dimacs,3230788500522591101072179200000
uclinux-base_18.dimacs,3695438445585419935206604800000
uclinux-base_19.dimacs,1065292906235567887184371384320000
uclinux-base_20.dimacs,214132870662298820363660820480000
uclinux-base_21.dimacs,229612398542660594776764579840000
uclinux-base_22.dimacs,108840504503756184765421584384000
uclinux-base_23.dimacs,16109959794278751013114478592000
uclinux-base_24.dimacs,17534105968311116493792215040000
uclinux-base_25.dimacs,1524587705916026859478528819200
uclinux-base_26.dimacs,1424531871632603567093459189760
uclinux-base_27.dimacs,45451126606416894363068006400
uclinux-base_28.dimacs,101400617328326735655075840
uclinux-base_29.dimacs,101400617328326735655075840
uclinux-base_30.dimacs,128897573720994024416870400
uclinux-base_31.dimacs,1015903170080665761742848000
uclinux-base_32.dimacs,1098948462238674901606072320
uclinux-base_33.dimacs,2492951532962907405020037120
uclinux-base_34.dimacs,1458081185996099473889034240
uclinux-base_35.dimacs,19230395225670572107943116800
uclinux-base_36.dimacs,43042364863546512043199692800
uclinux-base_37.dimacs,823536032228488669061625937920
uclinux-base_38.dimacs,3719241225326026867448217600
uclinux-base_39.dimacs,3719241225326026867448217600
uclinux-base_40.dimacs,13794663603046671262207180800
uclinux-base_41.dimacs,10402534117307162327777280
uclinux-base_42.dimacs,10402534117307162327777280
uclinux-base_43.dimacs,10578031715713601387888640
uclinux-base_44.dimacs,2750579954372154123878400
uclinux-base_45.dimacs,2892236818429937870438400
uclinux-base_46.dimacs,310036231258654491279360
uclinux-base_47.dimacs,310036231258654491279360
uclinux-base_48.dimacs,624758148632049352704000
uclinux-base_49.dimacs,26161747473967066644480
uclinux-base_50.dimacs,26161747473967066644480
