file old,file new,conjunction model count,percentage of old,percentage of new,retainment
uclinux-base_00.dimacs,uclinux-base_01.dimacs,179194442682411729690018321530880000,1.0,1.0,1.0
uclinux-base_01.dimacs,uclinux-base_02.dimacs,179194442682411729690018321530880000,1.0,0.9811409712399811,0.9811409712399811
uclinux-base_02.dimacs,uclinux-base_03.dimacs,102995771929697901439097398886400000,0.563931393139314,1.0,0.563931393139314
uclinux-base_03.dimacs,uclinux-base_04.dimacs,4771916722080882598264543641600000,0.04633119042340944,0.031818181818181815,0.031818181818181815
uclinux-base_04.dimacs,uclinux-base_05.dimacs,149974525551113453088314228736000000,1.0,1.0,1.0
uclinux-base_05.dimacs,uclinux-base_06.dimacs,149974525551113453088314228736000000,1.0,0.9950657894736842,0.9950657894736842
uclinux-base_06.dimacs,uclinux-base_07.dimacs,28546287533876708400332537856000000,0.1894017269736842,0.1894017269736842,0.1894017269736842
uclinux-base_07.dimacs,uclinux-base_08.dimacs,26395740582352154620436938752000000,0.17513306573101414,0.26355053806034195,0.17513306573101414
uclinux-base_08.dimacs,uclinux-base_09.dimacs,100154379409040101712364306432000000,1.0,0.8662610176282052,0.8662610176282052
uclinux-base_09.dimacs,uclinux-base_10.dimacs,3853895356823650336739394846720000,0.03333333333333333,0.001343997375005127,0.001343997375005127
uclinux-base_10.dimacs,uclinux-base_11.dimacs,954180264786927141519360000,3.3275832694437347e-10,0.00014022654377182693,3.3275832694437347e-10
uclinux-base_11.dimacs,uclinux-base_12.dimacs,282836424166684332392448000,4.156570375361211e-05,0.00012220398641726784,4.156570375361211e-05
uclinux-base_12.dimacs,uclinux-base_13.dimacs,52228316962597959106560000,2.2566077037279575e-05,1.153702354889026e-06,1.153702354889026e-06
uclinux-base_13.dimacs,uclinux-base_14.dimacs,45270183198700128622451097600000,1.0,1.0,1.0
uclinux-base_14.dimacs,uclinux-base_15.dimacs,3304546599777190586980761600000,0.0729960951399922,1.0,0.0729960951399922
uclinux-base_15.dimacs,uclinux-base_16.dimacs,3304546599777190586980761600000,1.0,1.0,1.0
uclinux-base_16.dimacs,uclinux-base_17.dimacs,13238701090318319616000000,4.006208019947711e-06,4.097668754292308e-06,4.006208019947711e-06
uclinux-base_17.dimacs,uclinux-base_18.dimacs,55224295976756418969600000,1.7093132517905056e-05,1.4943909035402146e-05,1.4943909035402146e-05
uclinux-base_18.dimacs,uclinux-base_19.dimacs,24586159167734022144000000,6.653110186994106e-06,2.307924799256787e-08,2.307924799256787e-08
uclinux-base_19.dimacs,uclinux-base_20.dimacs,214132870662298820363660820480000,0.20100844510359264,1.0,0.20100844510359264
uclinux-base_20.dimacs,uclinux-base_21.dimacs,141771945923654982626933578137600,0.6620746524583718,0.6174402899123699,0.6174402899123699
uclinux-base_21.dimacs,uclinux-base_22.dimacs,108840504503756184765421584384000,0.47401841187393146,1.0,0.47401841187393146
uclinux-base_22.dimacs,uclinux-base_23.dimacs,16109959794278751013114478592000,0.14801438001165074,1.0,0.14801438001165074
uclinux-base_23.dimacs,uclinux-base_24.dimacs,16109959794278751013114478592000,1.0,0.9187785121975318,0.9187785121975318
uclinux-base_24.dimacs,uclinux-base_25.dimacs,1524587705916026859478528819200,0.08694983985333328,1.0,0.08694983985333328
uclinux-base_25.dimacs,uclinux-base_26.dimacs,861689389233733632000,5.651950267538068e-10,6.048930223275266e-10,5.651950267538068e-10
uclinux-base_26.dimacs,uclinux-base_27.dimacs,45451126606416894363068006400,0.03190600892230444,1.0,0.03190600892230444
uclinux-base_27.dimacs,uclinux-base_28.dimacs,20643376004805705030696960,0.00045418843373381255,0.2035823503713412,0.00045418843373381255
uclinux-base_28.dimacs,uclinux-base_29.dimacs,0,0.0,0.0,0.0
uclinux-base_29.dimacs,uclinux-base_30.dimacs,101400617328326735655075840,1.0,0.786675919500347,0.786675919500347
uclinux-base_30.dimacs,uclinux-base_31.dimacs,0,0.0,0.0,0.0
uclinux-base_31.dimacs,uclinux-base_32.dimacs,1015903170080665761742848000,1.0,0.924432041163389,0.924432041163389
uclinux-base_32.dimacs,uclinux-base_33.dimacs,1098948462238674901606072320,1.0,0.44082223328768827,0.44082223328768827
uclinux-base_33.dimacs,uclinux-base_34.dimacs,0,0.0,0.0,0.0
uclinux-base_34.dimacs,uclinux-base_35.dimacs,0,0.0,0.0,0.0
uclinux-base_35.dimacs,uclinux-base_36.dimacs,19230395225670572107943116800,1.0,0.4467783144963115,0.4467783144963115
uclinux-base_36.dimacs,uclinux-base_37.dimacs,43042364863546512043199692800,1.0,0.052265308595027545,0.052265308595027545
uclinux-base_37.dimacs,uclinux-base_38.dimacs,0,0.0,0.0,0.0
uclinux-base_38.dimacs,uclinux-base_39.dimacs,3719241225326026867448217600,1.0,1.0,1.0
uclinux-base_39.dimacs,uclinux-base_40.dimacs,3719241225326026867448217600,1.0,0.26961449241173235,0.26961449241173235
uclinux-base_40.dimacs,uclinux-base_41.dimacs,10402534117307162327777280,0.0007540984265110802,1.0,0.0007540984265110802
uclinux-base_41.dimacs,uclinux-base_42.dimacs,10402534117307162327777280,1.0,1.0,1.0
uclinux-base_42.dimacs,uclinux-base_43.dimacs,0,0.0,0.0,0.0
uclinux-base_43.dimacs,uclinux-base_44.dimacs,0,0.0,0.0,0.0
uclinux-base_44.dimacs,uclinux-base_45.dimacs,2750579954372154123878400,1.0,0.9510216925684934,0.9510216925684934
uclinux-base_45.dimacs,uclinux-base_46.dimacs,0,0.0,0.0,0.0
uclinux-base_46.dimacs,uclinux-base_47.dimacs,310036231258654491279360,1.0,1.0,1.0
uclinux-base_47.dimacs,uclinux-base_48.dimacs,310036231258654491279360,1.0,0.49625,0.49625
uclinux-base_48.dimacs,uclinux-base_49.dimacs,7519277760374888202240,0.012035501700680271,0.28741496598639454,0.012035501700680271
uclinux-base_49.dimacs,uclinux-base_50.dimacs,26161747473967066644480,1.0,1.0,1.0
