file old,file new,conjunction model count,percentage of old,percentage of new,retainment
2007-05-20_17-12-43.dimacs,2007-05-20_21-51-38.dimacs,581699889727912840305125452634532545565772602739700678452849118972437321959357768252638400000000000000,1.0,1.0,1.0
2007-05-20_21-51-38.dimacs,2007-05-21_23-30-54.dimacs,581699889727912840305125452634532545565772602739700678452849118972437321959357768252638400000000000000,1.0,1.0,1.0
2007-05-21_23-30-54.dimacs,2007-06-08_08-02-53.dimacs,581699889727912840305125452634532545565772602739700678452849118972437321959357768252638400000000000000,1.0,0.08396920094025298,0.08396920094025298
2007-06-08_08-02-53.dimacs,2007-06-08_13-05-39.dimacs,6927538707219717152180532772319769868404115256832345321217567555570324699339870547417366400000000000000,1.0,0.3333333333333333,0.3333333333333333
2007-06-08_13-05-39.dimacs,2007-06-10_15-08-44.dimacs,344893576165679089613222651069968842596892164246957815876574055335627788940238120796800000000000000,1.6595291668128302e-05,1.6595291668128302e-05,1.6595291668128302e-05
2007-06-10_15-08-44.dimacs,2007-06-10_17-11-59.dimacs,20782616121659151456541598316959309605212345770497035963652702666710974098019611642252099200000000000000,1.0,0.75,0.75
2007-06-10_17-11-59.dimacs,2007-06-11_16-31-55.dimacs,27710154828878868608722131089279079473616461027329381284870270222281298797359482189669465600000000000000,1.0,0.6666666666666666,0.6666666666666666
2007-06-11_16-31-55.dimacs,2007-06-12_08-12-33.dimacs,24939139345990981747849917980351171526254814924596443156383243200053168917623533970702519040000000000000,0.6,1.0,0.6
2007-06-12_08-12-33.dimacs,2007-06-12_22-04-57.dimacs,24939139345990981747849917980351171526254814924596443156383243200053168917623533970702519040000000000000,1.0,0.553439908218293,0.553439908218293
2007-06-12_22-04-57.dimacs,2007-06-13_07-34-15.dimacs,45062054571160869153906138685746066768146229237856675186710644803419574935510306585854135040000000000000,1.0,0.5714285714285714,0.5714285714285714
2007-06-13_07-34-15.dimacs,2007-06-15_23-43-11.dimacs,78858595499531521019335742700055616844255901166249181576743628405984256137143036525244736320000000000000,1.0,0.25000095367310377,0.25000095367310377
2007-06-15_23-43-11.dimacs,2007-06-16_13-37-59.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000,1.0,1.0,1.0
2007-06-16_13-37-59.dimacs,2007-06-17_19-09-05.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000,1.0,1.0,1.0
2007-06-17_19-09-05.dimacs,2007-06-19_11-24-47.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000,1.0,1.0,1.0
2007-06-19_11-24-47.dimacs,2007-06-19_13-46-24.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000,1.0,1.0,1.0
2007-06-19_13-46-24.dimacs,2007-06-19_22-22-57.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000,1.0,0.5004341788459951,0.5004341788459951
2007-06-19_22-22-57.dimacs,2007-06-20_15-23-03.dimacs,630319015069999893062991621090002918222567976565964823882630879237615146084269300038752166720000000000000,1.0,1.0,1.0
2007-06-20_15-23-03.dimacs,2007-06-21_12-41-59.dimacs,630319015069999893062991621090002918222567976565964823882630879237615146084269300038752166720000000000000,1.0,0.5003660843850096,0.5003660843850096
2007-06-21_12-41-59.dimacs,2007-07-01_17-05-57.dimacs,1259715705641226232511818392125598192396052090369291001265981696415154592315317902802212119360000000000000,1.0,0.5328467153285515,0.5328467153285515
2007-07-01_17-05-57.dimacs,2007-07-14_22-07-14.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000,1.0,1.0,1.0
2007-07-14_22-07-14.dimacs,2007-07-19_21-49-30.dimacs,0,0.0,0.0,0.0
2007-07-19_21-49-30.dimacs,2007-07-20_21-28-41.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000,1.0,1.0,1.0
2007-07-20_21-28-41.dimacs,2007-07-23_14-03-30.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000,1.0,0.166787270841789,0.166787270841789
2007-07-23_14-03-30.dimacs,2007-08-02_22-23-47.dimacs,14174486959263525224282726773356030049728135819932974702900017221915334713636767708319351995200000000000000,1.0,1.0,1.0
2007-08-02_22-23-47.dimacs,2007-08-12_21-05-49.dimacs,14174486959263525224282726773356030049728135819932974702900017221915334713636767708319351995200000000000000,1.0,0.501039501039501,0.501039501039501
2007-08-12_21-05-49.dimacs,2007-08-13_14-10-24.dimacs,28290158619940894742240628954291495659415905931069547021140698272785377581988735550629080123200000000000000,1.0,0.11113499360091664,0.11113499360091664
