file,model_count
2017-09-26_11-30-56.dimacs,422906424
2018-02-09_09-07-43.dimacs,422770392
2018-02-09_09-07-44.dimacs,423185112
2018-02-09_09-07-45.dimacs,92031192
2018-02-09_09-07-46.dimacs,94857432
2018-02-09_09-07-48.dimacs,141763800
2018-02-09_09-07-49.dimacs,146159832
2018-02-09_09-07-50.dimacs,144152280
2018-02-09_09-07-51.dimacs,144213720
2018-02-09_09-07-52.dimacs,161604312
2018-02-09_09-07-53.dimacs,161604312
2018-02-19_10-18-21.dimacs,356310744
2018-03-21_10-31-39.dimacs,390151896
2018-05-09_16-02-56.dimacs,527880408
2018-08-20_14-36-18.dimacs,135204864
2018-11-01_09-46-44.dimacs,195103488
2018-11-19_10-41-18.dimacs,329235072
2018-12-03_11-39-23.dimacs,314534016
2018-12-14_09-41-08.dimacs,314722944
2019-01-07_10-47-04.dimacs,331173504
2019-01-11_10-36-57.dimacs,304627392
2019-11-05_15-47-28.dimacs,304605888
2019-12-17_12-09-20.dimacs,324070080
2020-03-31_11-32-10.dimacs,324070080
2020-04-14_11-39-31.dimacs,446351808
2020-05-19_11-29-13.dimacs,445111488
2020-06-23_13-59-40.dimacs,453624000
2020-10-13_11-46-16.dimacs,453624000
2020-10-13_11-46-17.dimacs,455961024
2020-10-20_12-35-53.dimacs,455961024
2020-12-01_14-09-14.dimacs,446228928
