file,model_count
2015-06-26_18-38-56.dimacs,610485672209015088
2015-06-26_23-03-00.dimacs,610485672209015088
2015-06-26_23-04-41.dimacs,610485672209015088
2015-06-26_23-05-18.dimacs,610485672209015088
2015-06-29_16-17-30.dimacs,67835452209023088
2015-06-29_16-29-46.dimacs,120566037012779232
2015-06-29_17-08-49.dimacs,120566037012779232
2015-06-29_18-57-25.dimacs,723393902789163072
2015-06-30_14-20-41.dimacs,723393902789163072
2015-06-30_14-59-31.dimacs,723393902789163072
2015-06-30_17-33-39.dimacs,4340363416697745648
2015-06-30_18-40-26.dimacs,3997704062464092360
2015-07-02_11-02-35.dimacs,3997704062464092360
2015-07-02_14-40-09.dimacs,3997704062464092360
2015-07-02_18-39-42.dimacs,6000447269638575600
2015-07-06_11-47-21.dimacs,172012821729518431200
2015-07-06_15-16-16.dimacs,309623079113133176160
2015-07-06_17-48-29.dimacs,495396926581025034720
2015-07-06_18-41-52.dimacs,185773847467908157920
2015-07-07_18-42-03.dimacs,170292693512246880960
2015-08-19_17-43-58.dimacs,6792004454002334996889600
2015-08-19_18-14-01.dimacs,6792004453984070648463360
2015-08-21_13-54-55.dimacs,6792004453984070648463360
2015-08-21_15-12-03.dimacs,6792004453984070648463360
2015-08-21_18-50-17.dimacs,6792004453984070648463360
2015-08-24_10-34-05.dimacs,13584008907619989045903360
2015-08-24_15-13-45.dimacs,13584008907619989045903360
2015-08-24_16-11-34.dimacs,13584008907619989045903360
2015-08-25_09-35-03.dimacs,2305986564779416108408881807360
2015-08-26_16-01-27.dimacs,4611973129558832216817763614720
2015-08-26_17-28-56.dimacs,9223946259117664433635527229440
2015-09-02_13-57-24.dimacs,9223919091099849889961937469440
2015-09-02_17-37-27.dimacs,18447838182199698387314870845440
2015-09-03_13-35-00.dimacs,36852947535505568084049505812480
2015-09-03_17-20-02.dimacs,73705895071011136168099011624960
2015-09-09_18-04-01.dimacs,46066184419381962190586495631360
2015-09-10_16-45-56.dimacs,92132368838763918819774022287360
2015-09-11_12-00-21.dimacs,92132368838763918819774022287360
2015-09-11_12-22-47.dimacs,92132368838763918819774022287360
2015-09-14_11-45-27.dimacs,92132368838763918819774022287360
2015-09-14_19-08-31.dimacs,92132368838763918819774022287360
2015-09-16_12-28-33.dimacs,92132368838763918819774022287360
2015-09-16_13-53-00.dimacs,92132368838763918819774022287360
2015-09-17_11-23-35.dimacs,184264737677527837639548044574720
2015-09-24_21-52-21.dimacs,184264737677527837639548044574720
2015-09-25_09-02-06.dimacs,276397514036558980175824882237440
2015-09-25_09-22-21.dimacs,1105590871186770379259103097651200
2015-09-28_17-02-04.dimacs,2228321864754192593969292949585920
2015-09-30_20-58-45.dimacs,2228321864754192593969292949585920
2015-10-05_16-26-18.dimacs,2228321864754192593969292949585920
2015-10-05_16-40-53.dimacs,2228321864754192593969292949585920
2015-10-05_17-35-00.dimacs,4456643729508384787517860132945920
2015-10-05_18-01-56.dimacs,8913287459016769575035720265891840
2015-10-08_18-29-01.dimacs,8913287459016769575035720265891840
2015-10-13_15-57-54.dimacs,80219587131150926175321482393026560
2015-10-14_15-02-52.dimacs,80219587131150926175321482393026560
2015-10-16_18-21-30.dimacs,320878348524603690286139801987973120
2015-10-20_17-46-20.dimacs,162907469250952649857342916127621120
2015-10-28_13-57-25.dimacs,162907469250952642649769852335554560
2015-10-29_11-22-17.dimacs,101817168281845404358946056631746560
2015-10-30_18-14-23.dimacs,101817168281845404358946056631746560
2015-11-03_18-43-35.dimacs,101817168281845404358946056631746560
2015-11-04_13-35-55.dimacs,152725733657881383069461019277393920
2015-11-04_18-14-40.dimacs,305451467315762766138922038554787840
2015-11-05_17-26-37.dimacs,305451467315762766138922038554787840
2015-11-06_15-00-32.dimacs,305325145145873544062062525509795840
2015-11-06_15-06-34.dimacs,305325145145873544062062525509795840
2015-11-06_15-06-40.dimacs,610421934611836888812932382672814080
2015-11-10_18-45-06.dimacs,1210130826673157113525852856364564480
2015-11-17_11-53-12.dimacs,1210130826673157113525852856364564480
2015-11-18_16-36-18.dimacs,1210130826673157113525852856364564480
2015-11-18_16-37-15.dimacs,3630392480019471259566232900164648960
2015-11-18_16-37-18.dimacs,3630392480019471259566232900164648960
2015-11-23_14-58-51.dimacs,7260779259463881174277708677717688320
2015-11-23_15-29-58.dimacs,7260779259463881174277708677717688320
2015-11-25_17-57-13.dimacs,14521558518927762348555417355435376640
2015-11-27_14-29-46.dimacs,21975172082092154705795566335342673920
2015-12-01_13-54-06.dimacs,65925516246276463119069139739439267840
2015-12-10_16-11-17.dimacs,65925516246276463119069139739439267840
2015-12-10_18-26-08.dimacs,65925516246276463119069139739439267840
2015-12-17_17-14-39.dimacs,65925516246276463119069139739439267840
2015-12-28_13-48-28.dimacs,65925516246276463119069139739439267840
2015-12-29_18-23-15.dimacs,389768068366643443488373182929137827840
2016-01-13_16-07-39.dimacs,779536136733286886976746365858275655680
2016-01-20_14-15-01.dimacs,779536689482174379599505891786416455680
2016-01-21_11-24-25.dimacs,2336296051731026293766607806496359055360
2016-01-25_16-16-52.dimacs,2336296051731026293766607806496359055360
2016-01-29_14-02-27.dimacs,2300897626704798623687032239453225615360
2016-02-03_09-59-17.dimacs,4498769986542218139075604760340316815360
2016-02-03_11-32-49.dimacs,4498769986542218139075604760340316815360
2016-02-03_11-33-53.dimacs,4498769986542218139075604760340316815360
2016-02-12_17-39-52.dimacs,4498769986542218139075604760340316815360
2016-02-12_18-59-37.dimacs,4410211522240205972332278296192860815360
2016-02-17_15-42-32.dimacs,4410211522240205972332278296192860815360
2016-02-17_16-43-25.dimacs,5115849155485637248883861928949391032320
2016-02-19_19-05-41.dimacs,5115849155485637248883861928949391032320
