file old,file new,conjunction model count,percentage of old,percentage of new,retainment
2015-06-26_18-38-56.dimacs,2015-06-26_23-03-00.dimacs,350886312554034744,0.5747658438639,0.5747658438639,0.5747658438639
2015-06-26_23-03-00.dimacs,2015-06-26_23-04-41.dimacs,463856468256,7.59815486868932e-07,7.59815486868932e-07,7.59815486868932e-07
2015-06-26_23-04-41.dimacs,2015-06-26_23-05-18.dimacs,610485672209015088,1.0,1.0,1.0
2015-06-26_23-05-18.dimacs,2015-06-29_16-17-30.dimacs,0,0.0,0.0,0.0
2015-06-29_16-17-30.dimacs,2015-06-29_16-29-46.dimacs,67831741357279056,0.9999452962776367,0.5626106906880362,0.5626106906880362
2015-06-29_16-29-46.dimacs,2015-06-29_17-08-49.dimacs,120566037012779232,1.0,1.0,1.0
2015-06-29_17-08-49.dimacs,2015-06-29_18-57-25.dimacs,0,0.0,0.0,0.0
2015-06-29_18-57-25.dimacs,2015-06-30_14-20-41.dimacs,723393902789163072,1.0,1.0,1.0
2015-06-30_14-20-41.dimacs,2015-06-30_14-59-31.dimacs,0,0.0,0.0,0.0
2015-06-30_14-59-31.dimacs,2015-06-30_17-33-39.dimacs,0,0.0,0.0,0.0
2015-06-30_17-33-39.dimacs,2015-06-30_18-40-26.dimacs,456881458262268024,0.1052634110094575,0.11428596292359292,0.1052634110094575
2015-06-30_18-40-26.dimacs,2015-07-02_11-02-35.dimacs,0,0.0,0.0,0.0
2015-07-02_11-02-35.dimacs,2015-07-02_14-40-09.dimacs,0,0.0,0.0,0.0
2015-07-02_14-40-09.dimacs,2015-07-02_18-39-42.dimacs,0,0.0,0.0,0.0
2015-07-02_18-39-42.dimacs,2015-07-06_11-47-21.dimacs,5667089087992239600,0.9444444444444864,0.032945736434133115,0.032945736434133115
2015-07-06_11-47-21.dimacs,2015-07-06_15-16-16.dimacs,172012821729518431200,1.0,0.5555555555555555,0.5555555555555555
2015-07-06_15-16-16.dimacs,2015-07-06_17-48-29.dimacs,30962307911317120800,0.10000000000001227,0.06250000000000616,0.06250000000000616
2015-07-06_17-48-29.dimacs,2015-07-06_18-41-52.dimacs,185773847467908157920,0.375000000000048,1.0,0.375000000000048
2015-07-06_18-41-52.dimacs,2015-07-07_18-42-03.dimacs,170292693512246880960,0.9166666666666544,1.0,0.9166666666666544
