file old,file new,conjunction model count,percentage of old,percentage of new,retainment
2008-06-05_13-46-47.dimacs,2008-06-07_15-19-18.dimacs,821149627681735314415200,0.6666666666666667,0.8571428571428572,0.6666666666666667
2008-06-07_15-19-18.dimacs,2008-06-27_09-08-44.dimacs,958007898962024533484400,1.0,0.6812749003984063,0.6812749003984063
2008-06-27_09-08-44.dimacs,2008-07-08_02-41-21.dimacs,1406198728885778701196400,1.0,1.0,1.0
2008-07-08_02-41-21.dimacs,2008-08-27_14-59-15.dimacs,1406198728885778701196400,1.0,0.9988713629510567,0.9988713629510567
2008-08-27_14-59-15.dimacs,2008-09-15_10-24-22.dimacs,1401223411859144802611760,0.995337224000835,0.995337224000835,0.995337224000835
2008-09-15_10-24-22.dimacs,2008-09-25_12-51-24.dimacs,1093699537757876573924400,0.7768924302788844,1.0,0.7768924302788844
2008-09-25_12-51-24.dimacs,2008-10-06_08-55-23.dimacs,1093699537757876573924400,1.0,0.4850156006528935,0.4850156006528935
2008-10-06_08-55-23.dimacs,2008-10-17_14-05-53.dimacs,1202376927934213471440000,0.5332100341824374,0.5332100341824374,0.5332100341824374
2008-10-17_14-05-53.dimacs,2008-10-30_08-05-36.dimacs,1803565391901320207160000,0.7998150512736562,0.7998150512736562,0.7998150512736562
2008-10-30_08-05-36.dimacs,2008-11-14_00-35-40.dimacs,2254978059026588160665400,1.0,0.25096525096525096,0.25096525096525096
2008-11-14_00-35-40.dimacs,2008-12-29_13-55-44.dimacs,8985220265967482055574440,1.0,1.0,1.0
2008-12-29_13-55-44.dimacs,2008-12-31_00-31-38.dimacs,8985220265967482055574440,1.0,0.38467011095929576,0.38467011095929576
2008-12-31_00-31-38.dimacs,2009-02-05_07-50-54.dimacs,8985220265967482055574440,0.38467011095929576,0.2941656519670577,0.2941656519670577
2009-02-05_07-50-54.dimacs,2009-02-20_14-37-43.dimacs,16171734673697357957950440,0.5294437679780384,1.0,0.5294437679780384
2009-02-20_14-37-43.dimacs,2009-02-24_07-20-53.dimacs,0,0.0,0.0,0.0
2009-02-24_07-20-53.dimacs,2009-02-24_18-42-38.dimacs,0,0.0,0.0,0.0
2009-02-24_18-42-38.dimacs,2009-03-14_11-30-56.dimacs,12479643373021417524268260,0.771694788767406,0.9912568475797078,0.771694788767406
2009-03-14_11-30-56.dimacs,2009-08-01_01-40-34.dimacs,8853285535807768082458200,0.7032156006893268,0.7030413758057429,0.7030413758057429
2009-08-01_01-40-34.dimacs,2009-09-16_10-00-56.dimacs,0,0.0,0.0,0.0
2009-09-16_10-00-56.dimacs,2009-09-17_09-29-59.dimacs,12592837122368764395366540,1.0,0.5003219575016098,0.5003219575016098
2009-09-17_09-29-59.dimacs,2009-09-26_09-37-45.dimacs,21440965318943248310365980,0.8518640902646686,1.0,0.8518640902646686
2009-09-26_09-37-45.dimacs,2009-10-08_16-56-33.dimacs,21440965318943248310365980,1.0,0.33333333333333337,0.33333333333333337
2009-10-08_16-56-33.dimacs,2009-10-17_14-45-31.dimacs,64322895956829744931097940,1.0,0.5897670533326118,0.5897670533326118
2009-10-17_14-45-31.dimacs,2009-10-28_20-12-54.dimacs,44927596599164396916280020,0.41193444209024377,0.5366527124765381,0.41193444209024377
2009-10-28_20-12-54.dimacs,2009-10-28_20-56-34.dimacs,72799489587979719122342400,0.8695778655345083,0.6896790404351734,0.6896790404351734
2009-10-28_20-56-34.dimacs,2009-11-09_15-35-16.dimacs,72799489587979719122342400,0.6896790404351734,0.5128483742154097,0.5128483742154097
2009-11-09_15-35-16.dimacs,2009-11-19_17-57-37.dimacs,72799489587979719122342400,0.5128483742154097,0.6896790404351734,0.5128483742154097
2009-11-19_17-57-37.dimacs,2009-11-19_18-03-00.dimacs,105555606767525840593062780,1.0,0.5001610305958132,0.5001610305958132
2009-11-19_18-03-00.dimacs,2009-11-19_18-21-10.dimacs,211043244696180125590122300,1.0,0.5000805282654213,0.5000805282654213
2009-11-19_18-21-10.dimacs,2009-11-19_18-23-41.dimacs,211043244696180125590122300,0.5000805282654213,0.5000805282654213,0.5000805282654213
2009-11-19_18-23-41.dimacs,2009-11-19_18-57-32.dimacs,391879195431016042727938620,0.928582932609346,0.5055194188771786,0.5055194188771786
2009-11-19_18-57-32.dimacs,2009-11-19_22-36-07.dimacs,595142243358541291084300200,0.7677262904476667,0.9999967047494652,0.7677262904476667
2009-11-19_22-36-07.dimacs,2009-11-22_23-54-40.dimacs,595144204507799495948727900,1.0,0.5003153517152593,0.5003153517152593
2009-11-22_23-54-40.dimacs,2010-02-16_15-11-07.dimacs,943451425892127242747042100,0.7931241342791175,1.0,0.7931241342791175
2010-02-16_15-11-07.dimacs,2010-03-12_14-47-15.dimacs,697364688568928399220415500,0.7391633203686143,1.0,0.7391633203686143
2010-03-12_14-47-15.dimacs,2010-03-12_17-06-35.dimacs,0,0.0,0.0,0.0
2010-03-12_17-06-35.dimacs,2010-04-02_09-19-24.dimacs,697364688568928399220415500,1.0,0.5862482685582352,0.5862482685582352
2010-04-02_09-19-24.dimacs,2010-04-02_10-29-00.dimacs,943451425892127242747042100,0.7931241342791175,1.0,0.7931241342791175
2010-04-02_10-29-00.dimacs,2010-04-12_16-38-37.dimacs,845016730962847705336391460,0.8956653281474457,1.0,0.8956653281474457
2010-04-12_16-38-37.dimacs,2010-04-14_15-34-22.dimacs,697364688568928399220415500,0.8252673148546085,0.500157747191482,0.500157747191482
2010-04-14_15-34-22.dimacs,2010-04-29_17-17-18.dimacs,1394289486636597225942309900,1.0,0.49516037988411715,0.49516037988411715
2010-04-29_17-17-18.dimacs,2010-09-14_14-36-00.dimacs,2815834108057886397061136700,1.0,1.0,1.0
2010-09-14_14-36-00.dimacs,2010-09-15_12-31-22.dimacs,2815834108057886397061136700,1.0,0.9792928223442036,0.9792928223442036
2010-09-15_12-31-22.dimacs,2010-09-17_13-06-58.dimacs,2875375009200437170463965500,1.0,0.5000772478133254,0.5000772478133254
2010-09-17_13-06-58.dimacs,2010-09-17_16-13-17.dimacs,5749861689915935053534429500,1.0,0.6667010007963022,0.6667010007963022
2010-09-17_16-13-17.dimacs,2010-11-24_23-02-11.dimacs,2871942482987867882734326900,0.3330039974692718,0.9936783649686612,0.3330039974692718
2010-11-24_23-02-11.dimacs,2011-02-24_08-24-43.dimacs,1767897400040451575885117700,0.6116840460108769,1.0,0.6116840460108769
2011-02-24_08-24-43.dimacs,2011-03-03_18-22-47.dimacs,1767897400040451575885117700,1.0,1.0,1.0
2011-03-03_18-22-47.dimacs,2011-03-05_18-10-15.dimacs,1767889801492387618433345100,0.9999957019292728,0.9462215318823107,0.9462215318823107
2011-03-05_18-10-15.dimacs,2011-04-20_12-50-38.dimacs,1794969044562402248519994300,0.9607150613083488,0.9909914342176074,0.9607150613083488
2011-04-20_12-50-38.dimacs,2011-04-26_14-12-55.dimacs,1811286134859015385412598900,1.0,0.5115806792199772,0.5115806792199772
2011-04-26_14-12-55.dimacs,2011-07-25_09-09-03.dimacs,1583814637648895610401457300,0.4473335010373892,0.14508338142966787,0.14508338142966787
2011-07-25_09-09-03.dimacs,2011-08-26_09-29-52.dimacs,10916582051243975185812575700,1.0,0.6667382435044019,0.6667382435044019
2011-08-26_09-29-52.dimacs,2011-10-14_14-11-01.dimacs,16373112152722423069508917380,0.999999815524929,0.9888791570559166,0.9888791570559166
2011-10-14_14-11-01.dimacs,2011-10-25_12-28-51.dimacs,16557242647795640003058030900,1.0,0.5000115508732892,0.5000115508732892
2011-10-25_12-28-51.dimacs,2011-10-27_12-48-31.dimacs,32317341381288490016909776500,0.9759501825209361,1.0,0.9759501825209361
2011-10-27_12-48-31.dimacs,2011-11-02_16-49-04.dimacs,32317341381288490016909776500,1.0,0.505286056271685,0.505286056271685
2011-11-02_16-49-04.dimacs,2011-11-20_02-47-50.dimacs,63958506236538473094798978000,1.0,1.0,1.0
2011-11-20_02-47-50.dimacs,2011-12-22_13-59-24.dimacs,63958506236538473094798978000,1.0,0.75,0.75
2011-12-22_13-59-24.dimacs,2011-12-22_14-07-08.dimacs,85278008315384630793065304000,1.0,0.6666666666666666,0.6666666666666666
2011-12-22_14-07-08.dimacs,2012-01-26_15-26-47.dimacs,127917012473076946189597956000,1.0,0.8968093477969046,0.8968093477969046
2012-01-26_15-26-47.dimacs,2012-04-18_00-09-02.dimacs,142635681471560205359115828000,1.0,1.0,1.0
2012-04-18_00-09-02.dimacs,2012-05-21_22-20-04.dimacs,142635681471560205359115828000,1.0,1.0,1.0
2012-05-21_22-20-04.dimacs,2012-06-15_14-00-31.dimacs,130370123972824156051184268000,0.9140077898307539,1.0,0.9140077898307539
2012-06-15_14-00-31.dimacs,2012-06-15_14-00-36.dimacs,130370123972824156051184268000,1.0,0.6666717714532144,0.6666717714532144
2012-06-15_14-00-36.dimacs,2012-06-15_14-00-37.dimacs,16104421451039549735240733600,0.08235294137813119,0.39622641587237345,0.08235294137813119
2012-06-15_14-00-37.dimacs,2012-06-15_14-00-44.dimacs,40644492153766116517829584800,1.0,0.33333333333333326,0.33333333333333326
2012-06-15_14-00-44.dimacs,2013-01-10_10-56-19.dimacs,23532208375695739368497877600,0.19299218769641865,0.06875370522679056,0.06875370522679056
2013-01-10_10-56-19.dimacs,2013-02-20_13-45-10.dimacs,736795831442767190934840000,0.002152685485296973,0.0021619936700827554,0.002152685485296973
2013-02-20_13-45-10.dimacs,2013-03-14_22-27-19.dimacs,340794629345313774910098705600,1.0,0.9975352401430014,0.9975352401430014
2013-03-14_22-27-19.dimacs,2013-03-14_22-45-15.dimacs,341636681724105508842595665600,1.0,0.9958828794309674,0.9958828794309674
2013-03-14_22-45-15.dimacs,2013-04-04_00-25-06.dimacs,343049056048951850755404561600,1.0,1.0,1.0
2013-04-04_00-25-06.dimacs,2013-05-19_01-09-07.dimacs,271776225586703050193334868800,0.7922372057129974,1.0,0.7922372057129974
2013-05-19_01-09-07.dimacs,2013-06-14_10-43-41.dimacs,271776225586703050193334868800,1.0,1.0,1.0
