,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/histories_unified/BusyBox,16873,2007-05-20_17-12-43.dimacs,2007-05-20_21-51-38.dimacs,spur,rejection,uniform,0.37081964686512947,1000,1000.0,1000,1000,1000,1000.0,0,0,0
1,data/histories_unified/BusyBox,16873,2007-05-20_21-51-38.dimacs,2007-05-21_23-30-54.dimacs,spur,rejection,uniform,0.09829593449831009,1000,1000.0,1000,1000,1000,1000.0,0,0,0
2,data/histories_unified/BusyBox,16873,2007-05-21_23-30-54.dimacs,2007-06-08_08-02-53.dimacs,spur,rejection,uniform,0.4403070844709873,1000,1000.0,1000,81,81,83.96920094025299,0,919,1053
3,data/histories_unified/BusyBox,16873,2007-06-08_08-02-53.dimacs,2007-06-08_13-05-39.dimacs,spur,rejection,uniform,0.4375107027590275,1000,1000.0,1000,353,353,333.3333333333333,0,647,1019
4,data/histories_unified/BusyBox,16873,2007-06-08_13-05-39.dimacs,2007-06-10_15-08-44.dimacs,spur,rejection,uniform,0.4183084610849619,1000,0.016595291668128304,0,0,0,0.016595291668128304,0,1000,1050
5,data/histories_unified/BusyBox,16873,2007-06-10_15-08-44.dimacs,2007-06-10_17-11-59.dimacs,spur,rejection,uniform,0.4401020482182503,1000,1000.0,1000,746,746,750.0,0,254,1067
6,data/histories_unified/BusyBox,16873,2007-06-10_17-11-59.dimacs,2007-06-11_16-31-55.dimacs,spur,rejection,uniform,0.4266600701957941,1000,1000.0,1000,683,683,666.6666666666666,0,317,999
7,data/histories_unified/BusyBox,16873,2007-06-11_16-31-55.dimacs,2007-06-12_08-12-33.dimacs,spur,rejection,uniform,0.27331241592764854,1000,600.0,594,1000,594,600.0,406,0,0
8,data/histories_unified/BusyBox,16873,2007-06-12_08-12-33.dimacs,2007-06-12_22-04-57.dimacs,spur,rejection,uniform,0.42959114350378513,1000,1000.0,1000,563,563,553.439908218293,0,437,1028
9,data/histories_unified/BusyBox,16873,2007-06-12_22-04-57.dimacs,2007-06-13_07-34-15.dimacs,spur,rejection,uniform,0.46313334070146084,1000,1000.0,1000,533,533,571.4285714285714,0,467,1144
10,data/histories_unified/BusyBox,16873,2007-06-13_07-34-15.dimacs,2007-06-15_23-43-11.dimacs,spur,rejection,uniform,0.4702975396066904,1000,1000.0,1000,231,231,250.00095367310377,0,769,1077
11,data/histories_unified/BusyBox,16873,2007-06-15_23-43-11.dimacs,2007-06-16_13-37-59.dimacs,spur,rejection,uniform,0.10396695323288441,1000,1000.0,1000,1000,1000,1000.0,0,0,0
