,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/histories_unified/Fiasco,16873,2017-09-26_11-30-56.dimacs,2018-02-09_09-07-43.dimacs,spur,rejection,expectation_uniform,0.14343309961259365,1000,999.6783401899802,1000,1000,1000,999.6783401899802,0,0,0
1,data/histories_unified/Fiasco,16873,2018-02-09_09-07-43.dimacs,2018-02-09_09-07-44.dimacs,spur,rejection,expectation_uniform,0.22146163694560528,1000,993.6056070832889,992,992,992,992.6318768983537,0,8,1772
2,data/histories_unified/Fiasco,16873,2018-02-09_09-07-44.dimacs,2018-02-09_09-07-45.dimacs,spur,rejection,expectation_uniform,0.19399932771921158,1000,125.38563974812045,152,577,152,125.38563974812045,425,423,1049
3,data/histories_unified/Fiasco,16873,2018-02-09_09-07-45.dimacs,2018-02-09_09-07-46.dimacs,spur,rejection,expectation_uniform,0.15038335509598255,1000,984.6452059427852,977,955,955,955.3080880367919,0,45,1057
4,data/histories_unified/Fiasco,16873,2018-02-09_09-07-46.dimacs,2018-02-09_09-07-48.dimacs,spur,rejection,expectation_uniform,0.10718734376132488,1000,411.15167444128156,401,276,276,275.1110791330368,0,724,1049
5,data/histories_unified/Fiasco,16873,2018-02-09_09-07-48.dimacs,2018-02-09_09-07-49.dimacs,spur,rejection,expectation_uniform,0.12969915196299553,1000,294.9714948385977,284,287,284,286.0996720357478,3,713,1049
6,data/histories_unified/Fiasco,16873,2018-02-09_09-07-49.dimacs,2018-02-09_09-07-50.dimacs,spur,rejection,expectation_uniform,0.17562486603856087,1000,966.4866609863099,962,979,962,966.4866609863099,17,21,1100
7,data/histories_unified/Fiasco,16873,2018-02-09_09-07-50.dimacs,2018-02-09_09-07-51.dimacs,spur,rejection,expectation_uniform,0.7093905787914991,1000,1000.0,1000,999,999,999.5739656393304,0,1,12465
8,data/histories_unified/Fiasco,16873,2018-02-09_09-07-51.dimacs,2018-02-09_09-07-52.dimacs,spur,rejection,expectation_uniform,0.1561712920665741,1000,893.7896338850422,889,797,797,797.6069846453106,0,203,1053
9,data/histories_unified/Fiasco,16873,2018-02-09_09-07-52.dimacs,2018-02-09_09-07-53.dimacs,spur,rejection,expectation_uniform,0.20556550286710262,1000,984.6023910550109,983,984,983,984.6023910550109,1,16,1091
10,data/histories_unified/Fiasco,16873,2018-02-09_09-07-53.dimacs,2018-02-19_10-18-21.dimacs,spur,rejection,expectation_uniform,0.18563758581876755,1000,1000.0,1000,453,453,453.5488045794095,0,547,1051
11,data/histories_unified/Fiasco,16873,2018-02-19_10-18-21.dimacs,2018-03-21_10-31-39.dimacs,spur,rejection,expectation_uniform,0.2382193636149168,1000,981.8427254610094,1000,897,897,896.6792564299111,0,103,1297
12,data/histories_unified/Fiasco,16873,2018-03-21_10-31-39.dimacs,2018-05-09_16-02-56.dimacs,spur,rejection,expectation_uniform,0.18272762559354305,1000,960.1740343714746,999,709,709,709.6564189970846,0,291,1052
13,data/histories_unified/Fiasco,16873,2018-05-09_16-02-56.dimacs,2018-08-20_14-36-18.dimacs,spur,rejection,expectation_uniform,0.11829509399831295,1000,0.0,0,0,0,0.0,0,1000,1050
14,data/histories_unified/Fiasco,16873,2018-08-20_14-36-18.dimacs,2018-11-01_09-46-44.dimacs,spur,rejection,expectation_uniform,0.11693254858255386,1000,505.1860856130146,480,351,351,350.0891588365658,0,649,1049
