,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/histories_unified/Fiasco,16873,2017-09-26_11-30-56.dimacs,2018-02-09_09-07-43.dimacs,spur,tseitin,expectation_uniform,0.14506502076983452,1000,999.6783401899802,1000,1000,1000,999.6783401899802,0,0,0
1,data/histories_unified/Fiasco,16873,2018-02-09_09-07-43.dimacs,2018-02-09_09-07-44.dimacs,spur,tseitin,expectation_uniform,0.14196083322167397,1000,993.6056070832889,992,992,992,992.6318768983537,0,8,0
2,data/histories_unified/Fiasco,16873,2018-02-09_09-07-44.dimacs,2018-02-09_09-07-45.dimacs,spur,tseitin,expectation_uniform,0.3573961462825537,1000,125.38563974812045,152,576,152,125.38563974812045,424,424,0
3,data/histories_unified/Fiasco,16873,2018-02-09_09-07-45.dimacs,2018-02-09_09-07-46.dimacs,spur,tseitin,expectation_uniform,0.17592219077050686,1000,984.6452059427852,983,955,955,955.3080880367919,0,45,0
4,data/histories_unified/Fiasco,16873,2018-02-09_09-07-46.dimacs,2018-02-09_09-07-48.dimacs,spur,tseitin,expectation_uniform,0.40795757807791233,1000,411.15167444128156,396,276,276,275.1110791330368,0,724,0
5,data/histories_unified/Fiasco,16873,2018-02-09_09-07-48.dimacs,2018-02-09_09-07-49.dimacs,spur,tseitin,expectation_uniform,0.38817531429231167,1000,294.9714948385977,298,287,287,286.0996720357478,0,713,0
6,data/histories_unified/Fiasco,16873,2018-02-09_09-07-49.dimacs,2018-02-09_09-07-50.dimacs,spur,tseitin,expectation_uniform,0.21262780018150806,1000,966.4866609863099,973,979,973,966.4866609863099,6,21,0
7,data/histories_unified/Fiasco,16873,2018-02-09_09-07-50.dimacs,2018-02-09_09-07-51.dimacs,spur,tseitin,expectation_uniform,0.14989124238491058,1000,1000.0,1000,999,999,999.5739656393304,0,1,0
8,data/histories_unified/Fiasco,16873,2018-02-09_09-07-51.dimacs,2018-02-09_09-07-52.dimacs,spur,tseitin,expectation_uniform,0.3074688948690891,1000,893.7896338850422,891,798,798,797.6069846453106,0,202,0
9,data/histories_unified/Fiasco,16873,2018-02-09_09-07-52.dimacs,2018-02-09_09-07-53.dimacs,spur,tseitin,expectation_uniform,0.19976967200636864,1000,984.6023910550109,974,985,974,984.6023910550109,11,15,0
10,data/histories_unified/Fiasco,16873,2018-02-09_09-07-53.dimacs,2018-02-19_10-18-21.dimacs,spur,tseitin,expectation_uniform,0.378484008833766,1000,1000.0,1000,453,453,453.5488045794095,0,547,0
11,data/histories_unified/Fiasco,16873,2018-02-19_10-18-21.dimacs,2018-03-21_10-31-39.dimacs,spur,tseitin,expectation_uniform,0.25765412487089634,1000,981.8427254610094,1000,896,896,896.6792564299111,0,104,0
12,data/histories_unified/Fiasco,16873,2018-03-21_10-31-39.dimacs,2018-05-09_16-02-56.dimacs,spur,tseitin,expectation_uniform,0.5287862308323383,1000,960.1740343714746,1000,709,709,709.6564189970846,0,291,0
13,data/histories_unified/Fiasco,16873,2018-05-09_16-02-56.dimacs,2018-08-20_14-36-18.dimacs,spur,tseitin,expectation_uniform,0.7123889401555061,1000,0.0,0,0,0,0.0,0,1000,0
14,data/histories_unified/Fiasco,16873,2018-08-20_14-36-18.dimacs,2018-11-01_09-46-44.dimacs,spur,tseitin,expectation_uniform,0.548138989135623,1000,505.1860856130146,509,351,351,350.0891588365658,0,649,0
15,data/histories_unified/Fiasco,16873,2018-11-01_09-46-44.dimacs,2018-11-19_10-41-18.dimacs,spur,tseitin,expectation_uniform,0.8595833238214254,1000,0.0,0,0,0,0.0,0,1000,0
16,data/histories_unified/Fiasco,16873,2018-11-19_10-41-18.dimacs,2018-12-03_11-39-23.dimacs,spur,tseitin,expectation_uniform,0.2713838554918766,1000,921.9578648048772,924,966,924,921.9578648048772,42,34,0
17,data/histories_unified/Fiasco,16873,2018-12-03_11-39-23.dimacs,2018-12-14_09-41-08.dimacs,spur,tseitin,expectation_uniform,0.1571020856499672,1000,999.2491750081492,1000,998,998,998.6493263103182,0,2,0
