,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/histories_unified/Fiasco,16873,2017-09-26_11-30-56.dimacs,2018-02-09_09-07-43.dimacs,spur,tseitin,uniform,0.14841095358133316,1000,999.6783401899802,1000,1000,1000,999.6783401899802,0,0,0
1,data/histories_unified/Fiasco,16873,2018-02-09_09-07-43.dimacs,2018-02-09_09-07-44.dimacs,spur,tseitin,uniform,0.18424323946237564,1000,993.6056070832889,992,990,990,992.6318768983537,0,10,0
2,data/histories_unified/Fiasco,16873,2018-02-09_09-07-44.dimacs,2018-02-09_09-07-45.dimacs,spur,tseitin,uniform,0.43649372458457947,1000,125.38563974812045,152,586,152,125.38563974812045,434,414,0
3,data/histories_unified/Fiasco,16873,2018-02-09_09-07-45.dimacs,2018-02-09_09-07-46.dimacs,spur,tseitin,uniform,0.17699460498988628,1000,984.6452059427852,983,957,957,955.3080880367919,0,43,0
4,data/histories_unified/Fiasco,16873,2018-02-09_09-07-46.dimacs,2018-02-09_09-07-48.dimacs,spur,tseitin,uniform,0.39849902875721455,1000,411.15167444128156,389,267,267,275.1110791330368,0,733,0
5,data/histories_unified/Fiasco,16873,2018-02-09_09-07-48.dimacs,2018-02-09_09-07-49.dimacs,spur,tseitin,uniform,0.43557650223374367,1000,294.9714948385977,289,299,289,286.0996720357478,10,701,0
6,data/histories_unified/Fiasco,16873,2018-02-09_09-07-49.dimacs,2018-02-09_09-07-50.dimacs,spur,tseitin,uniform,0.18518153578042984,1000,966.4866609863099,977,977,977,966.4866609863099,0,23,0
7,data/histories_unified/Fiasco,16873,2018-02-09_09-07-50.dimacs,2018-02-09_09-07-51.dimacs,spur,tseitin,uniform,0.12252122350037098,1000,1000.0,1000,1000,1000,999.5739656393304,0,0,0
8,data/histories_unified/Fiasco,16873,2018-02-09_09-07-51.dimacs,2018-02-09_09-07-52.dimacs,spur,tseitin,uniform,0.2604393996298313,1000,893.7896338850422,906,805,805,797.6069846453106,0,195,0
9,data/histories_unified/Fiasco,16873,2018-02-09_09-07-52.dimacs,2018-02-09_09-07-53.dimacs,spur,tseitin,uniform,0.20922015607357025,1000,984.6023910550109,985,981,981,984.6023910550109,0,19,0
10,data/histories_unified/Fiasco,16873,2018-02-09_09-07-53.dimacs,2018-02-19_10-18-21.dimacs,spur,tseitin,uniform,0.3726625517010689,1000,1000.0,1000,453,453,453.5488045794095,0,547,0
11,data/histories_unified/Fiasco,16873,2018-02-19_10-18-21.dimacs,2018-03-21_10-31-39.dimacs,spur,tseitin,uniform,0.2707240544259548,1000,981.8427254610094,1000,886,886,896.6792564299111,0,114,0
12,data/histories_unified/Fiasco,16873,2018-03-21_10-31-39.dimacs,2018-05-09_16-02-56.dimacs,spur,tseitin,uniform,0.4867474641650915,1000,960.1740343714746,998,679,679,709.6564189970846,0,321,0
13,data/histories_unified/Fiasco,16873,2018-05-09_16-02-56.dimacs,2018-08-20_14-36-18.dimacs,spur,tseitin,uniform,0.7271978948265314,1000,0.0,0,0,0,0.0,0,1000,0
