,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_00.dimacs,adderii_01.dimacs,spur,rejection,uniform,1.1191812697798014,1000,0.06761860344092378,0,10,0,0.06761860344092378,10,990,1051
1,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_01.dimacs,adderii_02.dimacs,spur,rejection,uniform,0.591792356222868,1000,1000.0,1000,748,748,750.0,0,252,1058
2,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_02.dimacs,adderii_03.dimacs,spur,rejection,uniform,0.5313207302242517,1000,2.6173647781273948,3,1000,3,2.6173647781273948,997,0,0
3,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_03.dimacs,adderii_04.dimacs,spur,rejection,uniform,0.08194241859018803,1000,1000.0,1000,1000,1000,1000.0,0,0,0
4,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_04.dimacs,adderii_05.dimacs,spur,rejection,uniform,0.5988640375435352,1000,16.599460616301528,17,1000,17,16.599460616301528,983,0,0
5,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_05.dimacs,adderii_06.dimacs,spur,rejection,uniform,0.6374312806874514,1000,1000.0,1000,454,454,471.2139236074533,0,546,1084
6,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_06.dimacs,adderii_07.dimacs,spur,rejection,uniform,1.118919838219881,1000,1.2723736567404068e-13,0,0,0,1.2723736567404068e-13,0,1000,1050
7,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_07.dimacs,adderii_08.dimacs,spur,rejection,uniform,1.1689785961061716,1000,1000.0,1000,329,329,346.05396152993904,0,671,1077
8,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_08.dimacs,adderii_09.dimacs,spur,rejection,uniform,1.0046639405190945,1000,5.226489108216509,3,1000,3,5.226489108216509,997,0,0
9,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_09.dimacs,adderii_10.dimacs,spur,rejection,uniform,0.9435820281505585,1000,0.01759232497287923,0,1000,0,0.01759232497287923,1000,0,0
10,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_10.dimacs,adderii_11.dimacs,spur,rejection,uniform,1.605585027486086,1000,0.04600124324762172,0,77,0,0.04600124324762172,77,923,1051
11,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_11.dimacs,adderii_12.dimacs,spur,rejection,uniform,0.11636347509920597,1000,1000.0,1000,1000,1000,1000.0,0,0,0
12,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_12.dimacs,adderii_13.dimacs,spur,rejection,uniform,1.1561319716274738,1000,0.8074786008534992,0,0,0,0.06618389288257684,0,1000,1050
13,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_13.dimacs,adderii_14.dimacs,spur,rejection,uniform,1.2006171606481075,1000,0.003914806706334032,0,0,0,0.002609871137556022,0,1000,1050
14,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_14.dimacs,adderii_15.dimacs,spur,rejection,uniform,1.1939164344221354,1000,1000.0,1000,290,290,257.0273616083355,0,710,1003
15,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_15.dimacs,adderii_16.dimacs,spur,rejection,uniform,1.3110984321683645,1000,1000.0,1000,391,391,413.6106160877422,0,609,1090
16,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_16.dimacs,adderii_17.dimacs,spur,rejection,uniform,1.418007979169488,1000,1000.0,1000,886,886,888.8888888888888,0,114,1077
17,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_17.dimacs,adderii_18.dimacs,spur,rejection,uniform,1.4246698133647442,1000,0.0012222548817546971,0,1000,0,0.0012222548817546971,1000,0,0
18,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_18.dimacs,adderii_19.dimacs,spur,rejection,uniform,1.0072580240666866,1000,1000.0,1000,926,926,922.7825905209122,0,74,1006
19,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_19.dimacs,adderii_20.dimacs,spur,rejection,uniform,1.2604251559823751,1000,1000.0,1000,948,948,951.8108439904186,0,52,1288
20,data/generated_unified_pmc/adderii_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,adderii_20.dimacs,adderii_21.dimacs,spur,rejection,uniform,1.0159558672457933,1000,5.475990004747572e-15,0,0,0,1.1902669812538999e-17,0,1000,1050
