,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_00.dimacs,automotive01_01.dimacs,spur,rejection,uniform,4.9726279601454735,1000,1000.0,1000,1000,1000,1000.0,0,0,0
1,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_01.dimacs,automotive01_02.dimacs,spur,rejection,uniform,6.148972734808922,1000,0.3367960743838474,0,1000,0,0.3367960743838474,1000,0,0
2,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_02.dimacs,automotive01_03.dimacs,spur,rejection,uniform,0.44059730134904385,1000,1000.0,1000,1000,1000,1000.0,0,0,0
3,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_03.dimacs,automotive01_04.dimacs,spur,rejection,uniform,6.297228449955583,1000,0.0023059733742250336,0,1000,0,0.0023059733742250336,1000,0,0
4,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_04.dimacs,automotive01_05.dimacs,spur,rejection,uniform,6.41040762513876,1000,5.651031760579895,5,1000,5,5.651031760579895,995,0,0
5,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_05.dimacs,automotive01_06.dimacs,spur,rejection,uniform,4.544866153970361,1000,1000.0,1000,995,995,992.2132709644345,0,5,852
6,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_06.dimacs,automotive01_07.dimacs,spur,rejection,uniform,5.5339035131037235,1000,1000.0,1000,463,463,479.6198703454152,0,537,1084
7,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_07.dimacs,automotive01_08.dimacs,spur,rejection,uniform,6.352270508185029,1000,1.766189410953909,1,1000,1,1.766189410953909,999,0,0
8,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_08.dimacs,automotive01_09.dimacs,spur,rejection,uniform,6.53765519335866,1000,0.12702406436956556,0,1000,0,0.12702406436956556,1000,0,0
9,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_09.dimacs,automotive01_10.dimacs,spur,rejection,uniform,5.428571403026581,1000,1000.0,1000,743,743,732.4498336930917,0,257,1009
10,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_10.dimacs,automotive01_11.dimacs,spur,rejection,uniform,5.716438204050064,1000,3.5336206911138503e-16,0,0,0,6.130622062451264e-28,0,1000,1050
11,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_11.dimacs,automotive01_12.dimacs,spur,rejection,uniform,5.67080551199615,1000,1000.0,1000,612,612,607.742833841468,0,388,1039
12,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_12.dimacs,automotive01_13.dimacs,spur,rejection,uniform,5.692728666588664,1000,2.5943101947608772e-06,0,0,0,2.5943101947608772e-06,0,1000,1050
13,data/generated_unified_pmc/automotive01_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,automotive01_13.dimacs,automotive01_14.dimacs,spur,rejection,uniform,7.904890870675445,1000,1000.0,1000,399,399,362.4627744405447,0,601,990
