,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_00.dimacs,ea2468_01.dimacs,spur,tseitin,uniform,1.1712057683616877,1000,1.79055612026309e-05,0,0,0,4.986651811685326e-07,0,1000,0
1,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_01.dimacs,ea2468_02.dimacs,spur,tseitin,uniform,0.5544445514678955,1000,54.647352220585034,56,1000,56,54.647352220585034,944,0,0
2,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_02.dimacs,ea2468_03.dimacs,spur,tseitin,uniform,0.6752866711467505,1000,0.014898041566991675,1,0,0,0.010281787188040611,0,1000,0
3,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_03.dimacs,ea2468_04.dimacs,spur,tseitin,uniform,0.7271513100713491,1000,12.572386835245304,11,1000,11,12.572386835245304,989,0,0
4,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_04.dimacs,ea2468_05.dimacs,spur,tseitin,uniform,0.7879099771380424,1000,1.8874457337543407,0,1000,0,1.8874457337543407,1000,0,0
5,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_05.dimacs,ea2468_06.dimacs,spur,tseitin,uniform,0.45552421920001507,1000,463.98026315789474,461,1000,461,463.98026315789474,539,0,0
6,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_06.dimacs,ea2468_07.dimacs,spur,tseitin,uniform,0.9576051831245422,1000,1000.0,1000,322,322,333.40049020315297,0,678,0
7,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_07.dimacs,ea2468_08.dimacs,spur,tseitin,uniform,0.08730258978903294,1000,1000.0,1000,1000,1000,1000.0,0,0,0
8,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_08.dimacs,ea2468_09.dimacs,spur,tseitin,uniform,4.1185401901602745,1000,5.367302988700871,4,0,0,0.18220330302801127,0,1000,0
9,data/generated_unified_pmc/ea2468_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,ea2468_09.dimacs,ea2468_10.dimacs,spur,tseitin,uniform,1.0227636396884918,1000,0.5732828551948274,1,1000,1,0.5732828551948274,999,0,0
