,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new,spur_fallback
0,data/histories_unified/uClibc,16873,2008-06-05_13-46-47.dimacs,2008-06-07_15-19-18.dimacs,spur,rejection,expectation_uniform,0.43270885571837425,1000.0,666.6666666666666,674.0,858.0,674.0,666.6666666666666,184.0,142.0,1078.0,
1,data/histories_unified/uClibc,16873,2008-06-07_15-19-18.dimacs,2008-06-27_09-08-44.dimacs,spur,rejection,expectation_uniform,0.2128199189901352,1000.0,1000.0,1000.0,682.0,682.0,681.2749003984063,0.0,318.0,1048.0,
2,data/histories_unified/uClibc,16873,2008-06-27_09-08-44.dimacs,2008-07-08_02-41-21.dimacs,spur,rejection,expectation_uniform,0.06099901348352432,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
3,data/histories_unified/uClibc,16873,2008-07-08_02-41-21.dimacs,2008-08-27_14-59-15.dimacs,spur,rejection,expectation_uniform,0.29369890317320824,1000.0,1000.0,1000.0,998.0,998.0,998.8713629510567,0.0,2.0,1861.0,
4,data/histories_unified/uClibc,16873,2008-08-27_14-59-15.dimacs,2008-09-15_10-24-22.dimacs,spur,rejection,expectation_uniform,0.20012002810835838,1000.0,995.337224000835,997.0,996.0,996.0,995.337224000835,0.0,4.0,901.0,
5,data/histories_unified/uClibc,16873,2008-09-15_10-24-22.dimacs,2008-09-25_12-51-24.dimacs,spur,rejection,expectation_uniform,0.13966438919305801,1000.0,776.8924302788845,793.0,1000.0,793.0,776.8924302788845,207.0,0.0,0.0,
6,data/histories_unified/uClibc,16873,2008-09-25_12-51-24.dimacs,2008-10-06_08-55-23.dimacs,spur,rejection,expectation_uniform,0.21630379371345043,1000.0,1000.0,1000.0,486.0,486.0,485.0156006528935,0.0,514.0,1048.0,
7,data/histories_unified/uClibc,16873,2008-10-06_08-55-23.dimacs,2008-10-17_14-05-53.dimacs,spur,rejection,expectation_uniform,0.21393205039203167,1000.0,533.2100341824374,539.0,533.0,533.0,533.2100341824374,0.0,467.0,1050.0,
8,data/histories_unified/uClibc,16873,2008-10-17_14-05-53.dimacs,2008-10-30_08-05-36.dimacs,spur,rejection,expectation_uniform,0.19683103077113628,1000.0,799.8150512736562,816.0,800.0,800.0,799.8150512736562,0.0,200.0,1049.0,
9,data/histories_unified/uClibc,16873,2008-10-30_08-05-36.dimacs,2008-11-14_00-35-40.dimacs,spur,rejection,expectation_uniform,0.20935560576617718,1000.0,1000.0,1000.0,250.0,250.0,250.96525096525096,0.0,750.0,1051.0,
10,data/histories_unified/uClibc,16873,2008-11-14_00-35-40.dimacs,2008-12-29_13-55-44.dimacs,spur,rejection,expectation_uniform,0.06135609559714794,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
11,data/histories_unified/uClibc,16873,2008-12-29_13-55-44.dimacs,2008-12-31_00-31-38.dimacs,spur,rejection,expectation_uniform,0.2173304259777069,1000.0,1000.0,1000.0,384.0,384.0,384.67011095929576,0.0,616.0,1051.0,
12,data/histories_unified/uClibc,16873,2008-12-31_00-31-38.dimacs,2009-02-05_07-50-54.dimacs,spur,rejection,expectation_uniform,0.24151220731437206,1000.0,384.67011095929576,384.0,295.0,295.0,294.1656519670577,0.0,705.0,1049.0,
13,data/histories_unified/uClibc,16873,2009-02-05_07-50-54.dimacs,2009-02-20_14-37-43.dimacs,spur,rejection,expectation_uniform,0.18861673586070538,1000.0,529.4437679780385,532.0,1000.0,532.0,529.4437679780385,468.0,0.0,0.0,
14,data/histories_unified/uClibc,16873,2009-02-20_14-37-43.dimacs,2009-02-24_07-20-53.dimacs,spur,rejection,expectation_uniform,0.2017526887357235,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1050.0,
15,data/histories_unified/uClibc,16873,2009-02-24_07-20-53.dimacs,2009-02-24_18-42-38.dimacs,spur,rejection,expectation_uniform,0.18726908788084984,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1050.0,
16,data/histories_unified/uClibc,16873,2009-02-24_18-42-38.dimacs,2009-03-14_11-30-56.dimacs,spur,rejection,expectation_uniform,0.2787887901067734,1000.0,771.694788767406,782.0,992.0,782.0,771.694788767406,210.0,8.0,961.0,
17,data/histories_unified/uClibc,16873,2009-03-14_11-30-56.dimacs,2009-08-01_01-40-34.dimacs,spur,rejection,expectation_uniform,0.205532718449831,1000.0,703.2156006893266,714.0,704.0,704.0,703.0413758057429,0.0,296.0,1047.0,
18,data/histories_unified/uClibc,16873,2009-08-01_01-40-34.dimacs,2009-09-16_10-00-56.dimacs,spur,rejection,expectation_uniform,0.18869749642908573,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1050.0,
19,data/histories_unified/uClibc,16873,2009-09-16_10-00-56.dimacs,2009-09-17_09-29-59.dimacs,spur,rejection,expectation_uniform,0.25536265410482883,1000.0,1000.0,1000.0,500.0,500.0,500.3219575016098,0.0,500.0,1051.0,
20,data/histories_unified/uClibc,16873,2009-09-17_09-29-59.dimacs,2009-09-26_09-37-45.dimacs,spur,rejection,expectation_uniform,0.15699932351708412,1000.0,851.8640902646684,849.0,1000.0,849.0,851.8640902646684,151.0,0.0,0.0,
21,data/histories_unified/uClibc,16873,2009-09-26_09-37-45.dimacs,2009-10-08_16-56-33.dimacs,spur,rejection,expectation_uniform,0.22654780000448227,1000.0,1000.0,1000.0,334.0,334.0,333.3333333333333,0.0,666.0,1049.0,
22,data/histories_unified/uClibc,16873,2009-10-08_16-56-33.dimacs,2009-10-17_14-45-31.dimacs,spur,rejection,expectation_uniform,0.21942597441375256,1000.0,1000.0,1000.0,589.0,589.0,589.7670533326118,0.0,411.0,1052.0,
23,data/histories_unified/uClibc,16873,2009-10-17_14-45-31.dimacs,2009-10-28_20-12-54.dimacs,spur,rejection,expectation_uniform,0.2681943029165268,1000.0,411.93444209024375,420.0,536.0,420.0,411.93444209024375,116.0,464.0,1051.0,
24,data/histories_unified/uClibc,16873,2009-10-28_20-12-54.dimacs,2009-10-28_20-56-34.dimacs,spur,rejection,expectation_uniform,0.2462355624884367,1000.0,869.5778655345083,889.0,689.0,689.0,689.6790404351734,0.0,311.0,1052.0,
25,data/histories_unified/uClibc,16873,2009-10-28_20-56-34.dimacs,2009-11-09_15-35-16.dimacs,spur,rejection,expectation_uniform,0.23421895131468773,1000.0,689.6790404351734,689.0,513.0,513.0,512.8483742154099,0.0,487.0,1050.0,
26,data/histories_unified/uClibc,16873,2009-11-09_15-35-16.dimacs,2009-11-19_17-57-37.dimacs,spur,rejection,expectation_uniform,0.36023062095046043,1000.0,512.8483742154099,513.0,689.0,513.0,512.8483742154099,176.0,311.0,1052.0,
