,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/histories_unified/uClibc,16873,2008-06-05_13-46-47.dimacs,2008-06-07_15-19-18.dimacs,spur,tseitin,uniform,0.8417873419821262,1000,666.6666666666666,674,858,674,666.6666666666666,184,142,0
1,data/histories_unified/uClibc,16873,2008-06-07_15-19-18.dimacs,2008-06-27_09-08-44.dimacs,spur,tseitin,uniform,0.7888091765344143,1000,1000.0,1000,689,689,681.2749003984063,0,311,0
2,data/histories_unified/uClibc,16873,2008-06-27_09-08-44.dimacs,2008-07-08_02-41-21.dimacs,spur,tseitin,uniform,0.07771711051464081,1000,1000.0,1000,1000,1000,1000.0,0,0,0
3,data/histories_unified/uClibc,16873,2008-07-08_02-41-21.dimacs,2008-08-27_14-59-15.dimacs,spur,tseitin,uniform,0.07747234776616096,1000,1000.0,1000,1000,1000,998.8713629510567,0,0,0
4,data/histories_unified/uClibc,16873,2008-08-27_14-59-15.dimacs,2008-09-15_10-24-22.dimacs,spur,tseitin,uniform,0.1561258789151907,1000,995.337224000835,997,994,994,995.337224000835,0,6,0
5,data/histories_unified/uClibc,16873,2008-09-15_10-24-22.dimacs,2008-09-25_12-51-24.dimacs,spur,tseitin,uniform,0.15672697685658932,1000,776.8924302788845,789,1000,789,776.8924302788845,211,0,0
6,data/histories_unified/uClibc,16873,2008-09-25_12-51-24.dimacs,2008-10-06_08-55-23.dimacs,spur,tseitin,uniform,1.7090073134750128,1000,1000.0,1000,499,499,485.0156006528935,0,501,0
7,data/histories_unified/uClibc,16873,2008-10-06_08-55-23.dimacs,2008-10-17_14-05-53.dimacs,spur,tseitin,uniform,1.1970626823604107,1000,533.2100341824374,518,543,518,533.2100341824374,25,457,0
8,data/histories_unified/uClibc,16873,2008-10-17_14-05-53.dimacs,2008-10-30_08-05-36.dimacs,spur,tseitin,uniform,0.8652503229677677,1000,799.8150512736562,804,795,795,799.8150512736562,0,205,0
9,data/histories_unified/uClibc,16873,2008-10-30_08-05-36.dimacs,2008-11-14_00-35-40.dimacs,spur,tseitin,uniform,1.4461860954761505,1000,1000.0,1000,283,283,250.96525096525096,0,717,0
