,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new
0,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_00.dimacs,uclinux-base_01.dimacs,spur,tseitin,uniform,0.13389256037771702,1000,1000.0,1000,1000,1000,1000.0,0,0,0
1,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_01.dimacs,uclinux-base_02.dimacs,spur,tseitin,uniform,0.06309706903994083,1000,1000.0,1000,978,978,981.1409712399811,0,22,0
2,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_02.dimacs,uclinux-base_03.dimacs,spur,tseitin,uniform,0.09395454078912735,1000,563.931393139314,549,1000,549,563.931393139314,451,0,0
3,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_03.dimacs,uclinux-base_04.dimacs,spur,tseitin,uniform,0.6032344587147236,1000,46.33119042340944,45,29,29,31.818181818181817,0,971,0
4,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_04.dimacs,uclinux-base_05.dimacs,spur,tseitin,uniform,0.059382488951087,1000,1000.0,1000,1000,1000,1000.0,0,0,0
5,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_05.dimacs,uclinux-base_06.dimacs,spur,tseitin,uniform,0.07175883464515209,1000,1000.0,1000,996,996,995.0657894736842,0,4,0
6,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_06.dimacs,uclinux-base_07.dimacs,spur,tseitin,uniform,0.8589856699109077,1000,189.40172697368422,149,177,149,189.40172697368422,28,823,0
7,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_07.dimacs,uclinux-base_08.dimacs,spur,tseitin,uniform,0.5484238024801016,1000,175.13306573101414,161,257,161,175.13306573101414,96,743,0
8,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_08.dimacs,uclinux-base_09.dimacs,spur,tseitin,uniform,0.242628188803792,1000,1000.0,1000,869,869,866.2610176282052,0,131,0
9,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_09.dimacs,uclinux-base_10.dimacs,spur,tseitin,uniform,4.367546670138836,1000,33.333333333333336,34,1,1,1.343997375005127,0,999,0
10,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_10.dimacs,uclinux-base_11.dimacs,spur,tseitin,uniform,0.6392340790480375,1000,3.327583269443735e-07,0,0,0,3.327583269443735e-07,0,1000,0
11,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_11.dimacs,uclinux-base_12.dimacs,spur,tseitin,uniform,0.4193197637796402,1000,0.041565703753612106,0,0,0,0.041565703753612106,0,1000,0
12,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_12.dimacs,uclinux-base_13.dimacs,spur,tseitin,uniform,0.8098128158599138,1000,0.022566077037279576,0,0,0,0.001153702354889026,0,1000,0
13,data/generated_unified_pmc/uclinux-base_seed56926_pc0.4_pa0.9_pv0.3_pr0.1,16873,uclinux-base_13.dimacs,uclinux-base_14.dimacs,spur,tseitin,uniform,0.0781537089496851,1000,1000.0,1000,1000,1000,1000.0,0,0,0
